model_label,capacity_regime,geometry,budget,folds,storage_floats_mean,condition_number_median,condition_number_mean,anomaly_relative_frobenius_p_mean,anomaly_relative_frobenius_p_median,anomaly_relative_frobenius_p_std,anomaly_relative_frobenius_p_iqr,anomaly_relative_frobenius_so_mean,anomaly_relative_frobenius_so_median,anomaly_relative_frobenius_so_std,anomaly_relative_frobenius_so_iqr,anomaly_ssim_p_mean,anomaly_ssim_p_median,anomaly_ssim_p_std,anomaly_ssim_p_iqr,anomaly_ssim_so_mean,anomaly_ssim_so_median,anomaly_ssim_so_std,anomaly_ssim_so_iqr,relative_frobenius_p_mean,relative_frobenius_p_median,relative_frobenius_p_std,relative_frobenius_p_iqr,relative_frobenius_so_mean,relative_frobenius_so_median,relative_frobenius_so_std,relative_frobenius_so_iqr,ssim_p_mean,ssim_p_median,ssim_p_std,ssim_p_iqr,ssim_so_mean,ssim_so_median,ssim_so_std,ssim_so_iqr,rmse_p_mean,rmse_p_median,rmse_p_std,rmse_p_iqr,rmse_so_mean,rmse_so_median,rmse_so_std,rmse_so_iqr,train_range_nrmse_p_mean,train_range_nrmse_p_median,train_range_nrmse_p_std,train_range_nrmse_p_iqr,train_range_nrmse_so_mean,train_range_nrmse_so_median,train_range_nrmse_so_std,train_range_nrmse_so_iqr
4D current,equal_total,grid,30,10,194740.0,1376579.4468485995,1555609.6353121044,0.6582134203786589,0.536302096811326,0.27879764215136177,0.45196423223168136,5.155867824127456,5.713050235876453,1.0254237406650237,1.162370592763919,0.6369645033759611,0.6946435712934043,0.1967742189911421,0.20604419227108917,0.4481211379129165,0.4466427356333238,0.006921140737889059,0.0010931143928049614,0.004205950821943831,0.00407456539072755,0.0004581003883512735,0.0006380676622715496,0.016855943808592212,0.01639777833666415,0.0007604498357034966,0.0012154450353937009,0.9788686046296118,0.9800408904427427,0.006311674056818085,0.0031287333032827824,0.9904559657110518,0.9904134923944699,0.00029950711069309506,0.00020102420735423898,0.6714361389497094,0.6488373848703726,0.07011752121585328,0.09978881295087882,0.0045339316149287405,0.0044124501414381,0.000202884430020408,0.00031562611583132484,0.01625201171414431,0.015671371667400548,0.0017755023625733806,0.0024101986940389987,0.00693260638439461,0.0067468551842808,0.0003102203593505044,0.0004826079904886992
4D current,equal_total,grid,100,10,194740.0,18778.87284317774,19403.607772934076,0.6021516597294098,0.5233731518380771,0.3021942069517232,0.4390291479561187,4.861580527987444,5.208946179109574,0.9199217347278457,0.9093860110091274,0.6008281456199226,0.6658763858581301,0.23025730052220897,0.41411510904157317,0.45487218234174476,0.45266433903638703,0.009925334776878191,0.00239976110570983,0.00380474944272384,0.0034721996992381,0.0009856394803907113,0.0014564686168145,0.01591884847974837,0.015942751637125552,0.00010650749430618512,8.972022163792476e-05,0.9702331871159153,0.974482199756006,0.01100832902713734,0.008298915884876967,0.9904442279523762,0.9903895710049597,0.00027543408243343006,4.880997975886814e-05,0.607162434313035,0.5515661571038698,0.1552214715694783,0.2326560573841024,0.00428194070732668,0.00428613115902905,2.9792750397877064e-05,2.3987293269274804e-05,0.014697952213945372,0.013321974600321751,0.003790896070643337,0.0056193405762173035,0.006547299784467241,0.006553707193024,4.555459348725396e-05,3.667776150725107e-05
4D current,equal_total,grid,300,10,194740.0,18938.423073520324,19490.928890242845,0.38486808288470964,0.35282702194525734,0.16726331582762874,0.19402468464803413,4.765421573855039,5.1132812605975335,0.905197155743657,0.9526684464064514,0.8001146516099974,0.8309823245094998,0.07531753208528492,0.10475035200962068,0.45838559667792567,0.45682186830532884,0.010279449825065127,0.0038044395696376077,0.00246346157305768,0.00235830123017945,0.000415977426633726,0.0003381371484948749,0.01560322893800436,0.0156196842002395,7.192072846342141e-05,6.912094111047491e-05,0.9787371302697071,0.980021549278757,0.004819782474344058,0.003147084077613327,0.9906135076256287,0.9905679980740096,0.00023102267599430182,0.0001253218417839319,0.3932670220960405,0.37587115693602513,0.06523088831153841,0.05317773470979059,0.004197043233971709,0.00419949763572725,2.0860602835136976e-05,2.3061847874775165e-05,0.00951743465344792,0.0090784175025221,0.0015923901445127062,0.0012844015572425482,0.006417487335628878,0.006421240237685,3.1896896706802074e-05,3.526270958429962e-05
4D current,equal_total,wells,5,10,194740.0,241358.91518515884,248001.5121904974,0.5624628645605261,0.5150513715348093,0.27027263489000675,0.4387660919343335,6.23616284063088,6.269632138305182,1.6305102057242935,1.9295631817240722,0.725954742123079,0.7603403800950084,0.13494937699407406,0.1805682724902602,0.44870950849997326,0.4470918199780569,0.007418493772519044,0.005090904815592878,0.0035354568837043404,0.00330441745517325,0.0008507505019250306,0.0006617929593616505,0.0202120190225644,0.01921813388137005,0.0023354073156696712,0.002978920195323899,0.9788938547297287,0.9803782985415842,0.004679919540366225,0.00172168894673852,0.9903843472010335,0.9903671315096563,0.0002788488561744007,0.00024199674302483043,0.5643393480972769,0.5254277738395409,0.13431328793282926,0.10233308949525122,0.005436777836935941,0.005171233615012099,0.0006284501767618848,0.0008040526534504747,0.01365440946567296,0.0126906543616594,0.0032443743122864974,0.0025314586951207755,0.008313103051394299,0.00790707276143875,0.0009609315000137589,0.0012294363991608506
4D current,equal_total,wells,10,10,194740.0,63815519.33239339,77252827.48754206,0.47526996550842043,0.4046285275758925,0.22950445325167346,0.2814824663535519,4.994551161671033,5.363569703722364,0.8907734160255827,0.9096806284083545,0.7732094739907638,0.7966161640759826,0.07702289223392296,0.11439229766093206,0.4517667818161689,0.4506925909514051,0.005745962713097667,0.004523713879376834,0.00298465818058601,0.0029103786420243997,0.0003598342458671337,0.00041039751222477503,0.01640122003566081,0.01631216547336685,0.00027215500934337893,0.0003227383960656763,0.9795416434209432,0.9810465376737791,0.004689831197695917,0.0011173788913056981,0.9905101883370457,0.9905247741100991,0.00018668099522921896,0.00023436184220881895,0.47651004266874775,0.4666337705763678,0.05599890816634012,0.05822150694827072,0.00441167131511127,0.004389192644154549,7.230343383302501e-05,8.595289020072502e-05,0.01153036312876405,0.01127060309847845,0.001363184637562797,0.0015653508941901005,0.0067456643201866395,0.0067112933170436,0.00011055553757229033,0.00013142623355864944
4D current,equal_total,wells,15,10,194740.0,788811470.0280664,863368298.6400774,0.44741515762453077,0.39987930535046823,0.19872512385709798,0.24726837935195917,4.853986758825301,5.222632089595686,0.89941384482947,0.887243298939655,0.7609390866371194,0.7776111375814401,0.07749862534824879,0.11485487644668146,0.4534133194877611,0.45255712789935043,0.005845216251104042,0.005601185555308197,0.002839940737493,0.0027173483749878,0.00041089440910908155,0.00013363503301542503,0.0159118648340957,0.015924831556357003,0.00014192137735020613,0.00023576810782485053,0.9797702035157311,0.9817276210150121,0.005574100499419689,0.0028592046465758525,0.9906577892056123,0.9906114607935084,0.0002201545773377642,0.00016108797666869457,0.4534371021349622,0.4366746552322759,0.06455003141408067,0.019962834090271664,0.004280065827249111,0.00428518800190185,3.9487400712700275e-05,6.285417995070038e-05,0.0109725586635837,0.01054700460371625,0.0015718700375220006,0.0004821622307239256,0.0065444329998088895,0.006552265058983001,6.0378194806166244e-05,9.610715957364922e-05
4D current,equal_total,wells,20,10,194740.0,230893.68359249557,249930.64697222918,0.4051789293331713,0.37210094809184147,0.16991704050946535,0.20420789943168882,4.833367681111437,5.191446341902311,0.8999925006872685,0.9241979918978078,0.7889179157957256,0.8130790681227961,0.07704102711405628,0.08252707528156777,0.45470633869604943,0.45469116623278744,0.006103676731852604,0.007867576027357381,0.0025991064917947598,0.0024385668393054,0.00043455153684925264,0.00015866352585357495,0.015841011569956466,0.015863427123412002,9.53348341412638e-05,0.00013940381039809907,0.9800526042587375,0.9814133250891524,0.004970824145938821,0.003127246458416666,0.9906867801066754,0.9906205221003902,0.0002238907669516206,7.329695440050354e-05,0.4149461860090766,0.392090229185066,0.06824072928999561,0.02765781684778984,0.00426099862259432,0.0042660105274405,2.6001184953098796e-05,3.6572998903800294e-05,0.010041912881569382,0.009470156820315101,0.0016646695601011377,0.0006680191103117759,0.0065152782978969495,0.0065229417490659004,3.97571018085236e-05,5.5921929846050426e-05
4D current,equal_total,wells,30,10,194740.0,22142.31495594597,22420.654041665268,0.4127786660988436,0.36400894792555344,0.17676033037989203,0.20236133132221445,4.785686462446926,5.131584336486933,0.8935602635890899,0.9274363183258734,0.7867356473136635,0.8131789966855747,0.07440033203928616,0.10818847029339773,0.45492267041475654,0.4529288993811188,0.007139812800087084,0.005858068131396721,0.00263857432250796,0.00254961336005575,0.0003539950102503737,0.00022789703785789988,0.015682022202855694,0.01569473367365945,7.967864037504958e-05,7.338888014040215e-05,0.9802612656381122,0.9823951765084626,0.005341486764990902,0.0028390530984823137,0.9907129575580236,0.9906286116091413,0.0002367346007246013,0.00013630418538013167,0.42125220014507236,0.40994747419831723,0.055256441636304436,0.035788214179819366,0.004218223104480989,0.004220128963913,1.9660177053917468e-05,2.3362842756174604e-05,0.01019392212617935,0.009901462871767401,0.0013494023518144226,0.0008643925559134995,0.00644987240844951,0.0064527865620777995,3.0061386129799527e-05,3.572294569155043e-05
4D optimized,equal_per_property,full,9900,10,259184.0,1.0,1.0,0.0096583767431801,0.006966454775179751,0.00849097122766746,0.005189488322049699,0.28294673560613254,0.2838456799518577,0.06477026436474581,0.0977470297136448,0.9996436645092984,0.9997991542130673,0.0004901842094193053,0.00012631509944904806,0.9649168214412178,0.9668477151106945,0.012110129440107524,0.013854634278095856,5.576926942028303e-05,4.865064486222722e-05,2.7283421478455137e-05,1.1263147169664514e-05,0.0009398527558285199,0.0009161091666128999,0.00018449308335697528,0.00025200358837342495,0.9999593866629825,0.9999800897762886,6.0250235788688854e-05,9.151846797506025e-06,0.9999734423439088,0.9999743283052434,9.573332648566949e-06,1.316817954322147e-05,0.008906434729421209,0.00773380926127855,0.004365296191499471,0.001873433998151576,0.00025281165119495,0.00024629670752745,4.968053583071259e-05,6.765879407744999e-05,0.00021540491289572002,0.00018679465593655,0.0001052811531368565,4.309031708645e-05,0.00038656155760108,0.0003765998855029,7.596400412086572e-05,0.00010345365294827497
4D optimized,equal_per_property,grid,30,10,259184.0,67566.37783010566,64385.594137210726,0.3480416267081913,0.3171176662444657,0.15786910738818433,0.15937974315232195,0.46110057248502523,0.44769868574833904,0.12812204785770287,0.11258823421640735,0.7735529388814216,0.8475460052162893,0.2450894942713353,0.1586600370138227,0.92951404414018,0.9297152824350308,0.020040779767217458,0.02059013434165613,0.00233486255624678,0.0022838413324543,0.0009001160034706086,0.00148618394692645,0.0015191231370055701,0.0014475596028251,0.00031394667389676517,0.000289662004998525,0.9991681399299004,0.9992509790212907,0.0002597304101690168,0.0003778240015648304,0.9999443196671838,0.9999398566344244,2.064944193741787e-05,2.172019531043734e-05,0.3722163549728323,0.36617636695298317,0.14166495058633893,0.23188761346169307,0.00040862335145554,0.00038955054779425,8.448234302609557e-05,7.890797476272504e-05,0.00901345508449418,0.008844255937311,0.003454261430598601,0.005600777008855876,0.00062480537769605,0.0005956421146254001,0.00012917769396935565,0.00012065420832950001
4D optimized,equal_per_property,grid,100,10,259184.0,1.6199855991991112e+18,2.0780693105863726e+18,0.10298236208110427,0.09036389712595536,0.06168201144954838,0.07921549150108396,0.34527358556740306,0.365630725404347,0.07531387179955684,0.10415223520786449,0.973769079041697,0.9768104952807568,0.020418730751151925,0.03654731753113094,0.9479410832935994,0.9439605995156886,0.016855863683365294,0.024272518564984247,0.00069682786609986,0.0006150469860428,0.00039160249629495236,0.000641089857580975,0.00114289099417184,0.0011712382043278999,0.00019246457368401657,7.105993092019992e-05,0.9996266167513689,0.9996595623313527,0.0002098112724098835,0.00023323859139601222,0.9999625737873868,0.9999637414580347,1.4238757838071924e-05,2.3596296010341966e-05,0.11123480592124164,0.0986561143315426,0.06229343118694562,0.10277434973699574,0.00030742038806825004,0.0003148067183245,5.1801478596796696e-05,1.9003770251825017e-05,0.00268888709032665,0.0023828406300202,0.0015022443889669184,0.0024655585454308,0.00047006102562238,0.00048135509104745,7.920703083804642e-05,2.9057707562600067e-05
4D optimized,equal_per_property,grid,300,10,259184.0,107229.86149414507,97708.13068835357,0.041192389307018004,0.027101298442022748,0.03519449520072483,0.02241096163383893,0.30309169002323816,0.30552447023240076,0.06756819065833003,0.09161837168415493,0.9921178210824507,0.9976237555773098,0.013459011079247029,0.0019613380691312354,0.9578694313243888,0.9594582091559061,0.013060883679539451,0.01669623828619038,0.00024175297146465007,0.0001870544761064,0.0001272297735316394,0.00012900058720227502,0.00100772507141565,0.0010038129202340502,0.000197877821470499,0.00024726416770662503,0.999937071761488,0.9999566877070404,6.390722213078899e-05,2.9270328714914307e-05,0.9999679638132178,0.9999679143447882,1.188156276485572e-05,1.6295622037976187e-05,0.038610275968252825,0.0300074290718886,0.02033496197807483,0.020935109790401824,0.00027106760178561,0.0002698691039908,5.328311516811618e-05,6.637553154047502e-05,0.00093362344767227,0.0007247692824659,0.000490371757944174,0.000497623984973025,0.00041447581179962007,0.00041264324920945003,8.147252666507933e-05,0.00010149148086167502
4D optimized,equal_per_property,wells,5,10,307486.4,12356.589702500558,1878182.5082294946,0.3614183214363575,0.2569044494223811,0.22094263703881337,0.2311824511149679,0.8804048163125785,0.9041134000458378,0.14485306294768435,0.16523981679140376,0.9331881209139515,0.9371900482023177,0.033166729955573425,0.04373213184852953,0.873474454326705,0.8776661659357479,0.01601166283929348,0.0166404069645818,0.00224460381427323,0.002185407279777,0.0006896590521597798,0.000661956638661475,0.00296943503971468,0.0026870226997430004,0.0006907178923784024,0.0007979959349258495,0.9976141394578921,0.9979271572130448,0.0008565430892924718,0.001157394593083727,0.9999045348979646,0.9999154457652738,3.4167677363955846e-05,4.690116567818148e-05,0.3581882695754981,0.3486723245974565,0.10917597685740574,0.100841603925721,0.0007987697670384399,0.000722281283616,0.0001859668060868988,0.00021594875550622495,0.008668968144633521,0.00842148089090915,0.0026475501857692826,0.0024356253448417006,0.00122135860373342,0.00110440391770315,0.0002843524730100407,0.0003301963611878748
4D optimized,equal_per_property,wells,10,10,301206.0,2046696180.648824,10114868636.471674,0.22929198778415055,0.19858385255387756,0.12075330412917251,0.15895058572801393,0.9019361083728159,0.8820190406782391,0.17738951038114095,0.14403784859427504,0.9588542746720998,0.9710729226335508,0.026910294740587846,0.03857935016955627,0.8796118499534724,0.881866511796888,0.020949186600909452,0.034434565090536995,0.00142650626323868,0.00146199629751505,0.0002173649638038807,0.0002832986957764247,0.0030573646770121,0.0030131175067450496,0.0008001172562570207,0.0008495569833288749,0.9983850395609041,0.9984819176056736,0.0004395282472833039,0.00022509518350855018,0.9998967857947576,0.9999030226441119,5.119491156906274e-05,3.647357926428452e-05,0.22777539826840282,0.2329883053501772,0.03449925576458867,0.045742110961624755,0.00082238747388623,0.00081091543871635,0.00021531085230291116,0.00022892255312189995,0.00551260588821093,0.0056273653596599,0.0008460548455160886,0.001138404329390075,0.00125747124926574,0.0012399299383208501,0.00032922097554135876,0.000350033941420575
4D optimized,equal_per_property,wells,15,10,256286.4,14373031550.077866,31095356215.24398,0.16904718489110473,0.1720186578573049,0.09176024289294482,0.14904277773478014,0.83614757802189,0.849933973294342,0.1454262756200656,0.1556035952386413,0.9773882001711186,0.9828424392988806,0.01452606576578043,0.015381318553601031,0.8840377733525837,0.8823284126699129,0.017538251736268575,0.02628604598866724,0.0010630256992294098,0.00108538516219945,0.00035374722431298416,0.0004918267273132252,0.00278752904258172,0.0028993153593553497,0.0004588385083343059,0.0006145749585785504,0.9988502324084821,0.9988676736405032,0.0004871210194918662,0.0004504126118604068,0.9999119173575435,0.9999119224042092,3.0494744931997245e-05,3.1127819995369066e-05,0.1696755777290357,0.17362015330667097,0.05631435156955658,0.0773956385134574,0.0007498076172885,0.0007802466558157501,0.0001234563281913461,0.000164372842415825,0.00410745023282321,0.00419344668389405,0.0013692374918112447,0.0019389119133145505,0.0011464930475718403,0.0011930358476736,0.00018877085093102461,0.0002513342312003002
