outer_fold,test_run,candidate,order,variant,capacity_regime,coefficient_budget,architecture,preprocessing,spatial_ranks,property_rank,property_weights,geometry,budget,channels,solver,storage_floats,fit_seconds,condition_number,selection_loss,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so,pair_role,pair_3d_variant,pair_4d_variant,pair_inner_loss,iterations,model_label
3,3,4D-D-e24c5d642104,4D,4D-D,equal_per_property,64,partial-spatial,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",wells,15,30,ridge(alpha_relative=1e-08),286032,1.3619777920030174,3623242.102886437,0.2386937945100403,0.0004563002595163,0.0581482406936416,0.073339597022259,0.0017713722212719,0.9993851086690048,0.9948232552074768,0.0024090393579708,0.8466745087971432,0.000648574656081,0.0009917028273429,0.9999167127065772,0.9052718876937702,4D,3D-independent,4D-D,0.3204176823771863,0.0,4D-D
3,3,4D-E-6ca320f290f9,4D,4D-E,equal_per_property,64,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",wells,15,30,ridge(alpha_relative=1e-08),408916,1.7642350419992,3870532.666888619,0.2604014609753208,0.0011678316945064,0.1488216520713719,0.1877016374167747,0.0045335600399661,0.9983035050608968,0.9845541040649012,0.0023788591635779,0.8360674586555736,0.0006404493802801,0.0009792788775182,0.9999185408387568,0.9020124295864236,4D,3D-independent,4D-E,0.3027766711882426,0.0,4D-E
3,3,3D-current-5e7711139fcb,3D,3D-current,equal_per_property,64,legacy-independent,raw_minmax,"[48, 48]",,"[1.0, 1.0]",wells,15,30,ridge(alpha_relative=0.0001),242016,12.458822458000212,57649972.03012534,0.3259721635273577,0.0013999932292195,0.1784069624426792,0.2250161754754883,0.0054348185531093,0.996057857531106,0.9591751819538266,0.0029386587452757,1.032813117580013,0.0007911616631545,0.0012097254354286,0.9999158800976998,0.8554876698726962,3D,3D-current,4D-A-current,0.8666612908752892,0.0,3D current
3,3,4D-A-current-43ce2f360e5a,4D,4D-A-current,equal_per_property,64,legacy-joint,raw_minmax,"[48, 48]",2.0,"[1.0, 1.0]",wells,15,30,ridge(alpha_relative=0.0001),380500,16.334943583002314,155928631.44982857,1.5644227536457724,0.0028343809422284,0.361196957066932,0.4555604599719494,0.0110031575938339,0.9816754579781616,0.8206296705334047,0.01574468854774,5.533585990703978,0.0042388705382363,0.0064814433590572,0.9906692376343512,0.4535541958422348,4D,3D-current,4D-A-current,0.8666612908752892,0.0,4D current
3,3,4D-A-c45120ace2c4,4D,4D-A,equal_per_property,64,joint,standardized_anomaly,"[64, 48]",2.0,"[1.0, 1.0]",wells,20,40,ridge(alpha_relative=1e-06),404420,1.147397542001272,3995271.764081155,0.3030552678633278,0.0006686276206154,0.0852059997931406,0.1074662554561333,0.0025956338372207,0.998894795673641,0.9857574345498926,0.0030043637525994,1.0559056231537434,0.0008088511219783,0.0012367734956099,0.9998165483025614,0.872023668437253,4D,3D-independent,4D-A,0.3464722411981185,0.0,4D-A
3,3,3D-independent-fa9b36e31dc0,3D,3D-independent,equal_per_property,64,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",wells,20,40,ridge(alpha_relative=1e-06),272608,0.8929653330051224,6233206475.301109,0.238265046471444,0.0005733543640402,0.0730649322844968,0.0921533072416684,0.0022257800039,0.999709530945844,0.9940837412111015,0.0023553545692681,0.8278065970071985,0.0006341213457794,0.0009696029988093,0.999947938993256,0.9015389456007368,3D,3D-independent,4D-B,0.260564091588584,0.0,3D optimized
3,3,4D-B-643a4d560541,4D,4D-B,equal_per_property,64,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",wells,20,40,ridge(alpha_relative=1e-06),259184,0.6256560000038007,19113099956.64636,0.2102455126329528,0.0004062749542759,0.0517733078961494,0.0652991989494214,0.0015771723841789,0.9997286895181298,0.9966133503545694,0.0021180546883104,0.7444058175709101,0.0005702341833837,0.0008719163578272,0.9999445229621028,0.9137807995159268,4D,3D-independent,4D-B,0.260564091588584,0.0,4D optimized
3,3,4D-B-643a4d560541,4D,4D-B,equal_per_property,64,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",wells,20,40,ridge(alpha_relative=1e-06),259184,0.6256560000038007,19113099956.64636,0.2102455126329528,0.0004062749542759,0.0517733078961494,0.0652991989494214,0.0015771723841789,0.9997286895181298,0.9966133503545694,0.0021180546883104,0.7444058175709101,0.0005702341833837,0.0008719163578272,0.9999445229621028,0.9137807995159268,4D,3D-independent,4D-B,0.260564091588584,0.0,4D-B
3,3,4D-C-4e04f7cc08d6,4D,4D-C,equal_per_property,64,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 0.5]",wells,20,40,ridge(alpha_relative=1e-06),504948,1.069590416002029,53469043.45081453,0.3004121034100422,0.0006867816663,0.0875194453720458,0.1103840938028468,0.002666108423984,0.9994727146761344,0.9867277705531714,0.0029705987099747,1.0440386518715348,0.0007997607138721,0.0012228738106066,0.9998306879834185,0.8730915966536519,4D,3D-independent,4D-C,0.3421909696230782,0.0,4D-C
3,3,4D-D-e24c5d642104,4D,4D-D,equal_per_property,64,partial-spatial,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",wells,20,40,ridge(alpha_relative=1e-06),286032,1.3619777920030174,3943869.684441515,0.2939125315512511,0.0003863389707647,0.0492327825655274,0.0620949557642439,0.0014997802577032,0.9996203565252316,0.996131450124273,0.0030505237758772,1.0721289010780044,0.0008212785740758,0.0012557756864389,0.9999030902988638,0.8952916647527815,4D,3D-independent,4D-D,0.3141792972843001,0.0,4D-D
