outer_fold,test_run,capacity_regime,geometry,budget,role,candidate,variant,selected_4d_variant,solver,iterations,condition_number,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so
2,2,equal_total,wells,20,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",3640,1545653.6557524898,0.0009777769527086,0.2356203256004092,0.1564380672151145,0.003778447845506,0.9991657969528897,0.914462395436616,0.0042391577875619,1.4123219897561063,0.00114047385804,0.0017438411120826,0.9998394145960792,0.8179889660507808
2,2,equal_total,wells,20,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",150,2584616.1412479593,0.0010562771379177,0.254536949834007,0.168997595455294,0.0040817980675107,0.9983094991825424,0.9003187674153312,0.0030015519253467,1.0,0.0008075168880129,0.0012347333856805,0.9999259385562328,0.8427800744893107
2,2,equal_total,wells,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1780,27256.89224795088,0.0010171128137114,0.2450993058029731,0.1627315537311048,0.0039304543934671,0.9995788913060746,0.9243708575411682,0.002980962101701,0.9931402740456317,0.0008019775434576,0.001226263453028,0.9999032139869254,0.8309478762379471
2,2,equal_total,wells,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",380,132682.30283810548,0.0005603564281315,0.1350321908108829,0.089653449414639,0.0021653993098567,0.9998311487343492,0.9792342116230164,0.0024721454662511,0.82362242191282,0.0006650890150407,0.0010169541015308,0.9999452947502582,0.8711217085295815
2,2,equal_total,grid,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1710,1.2727767285497385e+19,0.0085578851597825,2.062240966319547,1.369206964979678,0.0330704488937814,0.9974849908802532,-0.0625628622893894,0.0048877934898234,1.6284221000970334,0.0013149783466418,0.0020106671329697,0.9999290222495688,0.7731563510988203
2,2,equal_total,grid,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",6390,7.050730853171769e+18,0.0019288252415793,0.4647996970967968,0.3085997189364178,0.0074536074492387,0.9990362847830502,0.7708770428328825,0.0022029831690744,0.7339480454998288,0.0005926754416651,0.0009062301551336,0.999952592354388,0.8934651862980925
2,2,equal_total,grid,100,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1690,4993.91731636963,0.0011517097783962,0.2775338815577189,0.1842662083882742,0.0044505807983862,0.9995731886045168,0.8119470486350736,0.0018865927685961,0.6285391076078869,0.0005075559441699,0.0007760782203692,0.999966944675864,0.8455962009353909
2,2,equal_total,grid,100,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",820,16424.37137618955,0.0006354852643994,0.1531364024251899,0.1016735833575771,0.0024557215441306,0.99981902558126,0.9743622321064564,0.0018283341674668,0.6091296145928509,0.0004918824507725,0.0007521126713445,0.9999641874145746,0.9081546242487452
2,2,equal_total,grid,300,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-D,"lasso(l1=0.001,max_iter=20000)",1170,5465.803022883771,0.0009403750974666,0.226607393473337,0.1504540092680452,0.0036339149242037,0.999608709376096,0.8963681205640992,0.0013359490764172,0.4450861119995258,0.0003594145520596,0.0005495626819885,0.9999701337352308,0.8900396410932413
2,2,equal_total,grid,300,4D,4D-D-2ecf0e4138e3,4D-D,4D-D,"lasso(l1=0.001,max_iter=20000)",160,507.46153784366743,0.0006998523535991,0.1686472962677509,0.1119719065065918,0.0027044568910153,0.9985178178447932,0.920188322966666,0.0009388995293542,0.3128046932740722,0.0002525950724685,0.000386230397983,0.999973188349292,0.9545473182856584
2,2,equal_per_property,wells,5,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",1060,27952356.154924516,0.0024513126619659,0.5907063834556663,0.3921943689873002,0.0094726686087343,0.9984076521913002,0.5134258305164382,0.014646260794285,4.8795626924205315,0.0039403292802474,0.0060249589638527,0.9992088629868984,0.7234089972351471
2,2,equal_per_property,wells,5,4D,4D-E-6ca320f290f9,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",4410,14912.326817899817,0.0014247165462398,0.3433218338634189,0.2279455475052131,0.0055055676549586,0.9985095543974826,0.9125715672881668,0.0024882297074937,0.8289810635897432,0.0006694162086916,0.0010235705953112,0.9999256758330402,0.8827469176851829
2,2,equal_per_property,wells,10,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-D,"lasso(l1=0.001,max_iter=20000)",14200,7962275874.589764,0.00169653582972,0.4088236314877658,0.2714348967086701,0.0065559656861124,0.9986959749936192,0.7632050333286539,0.0043299070883992,1.4425561163327234,0.001164888425845,0.0017811721975536,0.9998312529751914,0.798529873681003
2,2,equal_per_property,wells,10,4D,4D-D-ff94f89c821d,4D-D,4D-D,"lasso(l1=0.001,max_iter=20000)",9350,320017.79458831524,0.0014042843463718,0.3383981735416037,0.2246765260300678,0.0054266109958182,0.9982223936523922,0.9127108845505212,0.0040028909130547,1.3336070848057562,0.0010769102429543,0.0016466491909897,0.9998570916069484,0.8584763671988533
2,2,equal_per_property,wells,15,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-D,"lasso(l1=0.001,max_iter=20000)",4880,13657763528.582594,0.0010324203124038,0.2487880385104017,0.1651806557504355,0.0039896075421418,0.9991374643271876,0.8880693440396831,0.0041487308271242,1.3821952544249232,0.0011161460104794,0.0017066426261676,0.9998447499275804,0.807432887671697
2,2,equal_per_property,wells,15,4D,4D-D-ff94f89c821d,4D-D,4D-D,"lasso(l1=0.001,max_iter=20000)",20000,462348.13000404515,0.0008536910377108,0.2057186556814988,0.1365851133721098,0.0032989395518381,0.9987376385163051,0.9614407468220524,0.0031200745160191,1.039487103212028,0.0008394033907153,0.0012834894303202,0.9999022234950178,0.8939282613210889
2,2,equal_per_property,wells,20,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",11500,32079412150.68246,0.0009289954745157,0.2238651827293956,0.148633342279382,0.0035899403636434,0.9992138736402764,0.9267938247615608,0.0042391577875619,1.4123219897560986,0.00114047385804,0.0017438411120825,0.9998394145960792,0.8179889660507843
2,2,equal_per_property,wells,20,4D,4D-B-3ee6d3ebd2d3,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,2812704.7367324587,0.0006837194225033,0.1647596545442071,0.109390740574891,0.0026421140033336,0.999090453359961,0.9676538641003316,0.0036902144221859,1.2294354767024978,0.0009927899101594,0.0015180250286246,0.9998767607105422,0.8926472752366087
2,2,equal_per_property,wells,30,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-D,"lasso(l1=0.001,max_iter=20000)",2900,92278001063.9274,0.0008790781737789,0.2118363344116559,0.1406468929912918,0.0033970436944181,0.9997068228410908,0.9518115082917692,0.0029809621049949,0.9931402751430308,0.0008019775443438,0.001226263454383,0.999903213986834,0.8309478761311307
2,2,equal_per_property,wells,30,4D,4D-D-ff94f89c821d,4D-D,4D-D,"lasso(l1=0.001,max_iter=20000)",11790,3067170.6256198413,0.0007046320165586,0.16979907811295,0.1127366220516419,0.0027229270617037,0.9987106785069376,0.979695886680107,0.0022001015471841,0.7329880015085913,0.000591900189929,0.0009050447567658,0.9999157946694984,0.9011964898898088
2,2,equal_per_property,grid,30,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1710,24665.33247031578,0.0085578851555946,2.0622409653103793,1.3692069643096505,0.0330704488775982,0.997484990881824,-0.0625628622431644,0.004887793489823,1.628422100096897,0.0013149783466417,0.0020106671329696,0.9999290222495688,0.7731563510988245
2,2,equal_per_property,grid,30,4D,4D-B-3ee6d3ebd2d3,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",19770,97.52391983642264,0.0018652530125026,0.4494803450986759,0.2984285683301737,0.0072079437001358,0.998631743601906,0.7760995938985018,0.0014768682593429,0.4920348859772911,0.0003973264799181,0.0006075319006356,0.9999355539037144,0.9308090287848684
2,2,equal_per_property,grid,100,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",5070,3.3971108616243005e+18,0.000765997276251,0.1845866044800143,0.1225546716526737,0.0029600623640152,0.9997568108024408,0.8843021681361128,0.0018865927685917,0.6285391076063934,0.0005075559441687,0.0007760782203674,0.999966944675864,0.8455962009355086
2,2,equal_per_property,grid,100,4D,4D-B-3ee6d3ebd2d3,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",17110,2.5031746142598298e+17,0.000396673622874,0.0955886390242271,0.063465246041776,0.0015328757663652,0.9997052131672644,0.9661633765893872,0.0007958340819176,0.2651408676948772,0.000214105728366,0.0003273782812511,0.9999756117633176,0.9671164554124144
2,2,equal_per_property,grid,300,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",8430,155139.5563549439,0.0004721540052889,0.1137775646598403,0.0755416251228422,0.0018245564891756,0.999873574899372,0.9807760211853072,0.0013359424481926,0.4450839037336692,0.0003594127688476,0.0005495599553689,0.9999701339595922,0.8900405149983964
2,2,equal_per_property,grid,300,4D,4D-B-3ee6d3ebd2d3,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",2120,18376.750776238336,0.0001903469902626,0.0458689680693554,0.0304543026652591,0.0007355626181043,0.9997632346690288,0.9935046301404316,0.000694585739585,0.2314088700980294,0.0001868665706401,0.0002857282576526,0.9999809939468478,0.9736560308205876
3,3,equal_total,wells,5,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",210,23625830.60581018,0.0020576577332389,0.262215886671463,0.3307203662899863,0.0079878932205908,0.9981925636143896,0.9598626628221087,0.0211305258404332,7.426477914268662,0.0056888748971354,0.0086985719639098,0.9987951614786956,0.7038826114044106
3,3,equal_total,wells,5,4D,4D-E-4f4328240852,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",3920,38044.624232441995,0.0038029515631709,0.4846259414270211,0.6112355391463653,0.0147631797645336,0.9962280007050248,0.8659154499555648,0.0035540924321393,1.2491117898280772,0.0009568520618927,0.0014630742756147,0.9998524720640636,0.8329154665353388
3,3,equal_total,wells,10,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",5070,2280701433.253193,0.001657848478228,0.2112665297358445,0.2664603773096131,0.0064358208880346,0.9986482621011123,0.9693901440563216,0.0035377351006187,1.2433628859820054,0.0009524482522869,0.0014563406322382,0.9999007031301322,0.7999717622985559
3,3,equal_total,wells,10,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,3181370962.4124947,0.0008142943402266,0.1037689159790381,0.1308787745004208,0.0031611167079879,0.9993208927813986,0.9921942326179564,0.0028452957221935,1.0,0.0007660259631561,0.0011712917030557,0.9999377156252488,0.8479489263951621
3,3,equal_total,wells,15,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",6100,5594708702.321335,0.0008349564828284,0.10640197878406,0.1341997307795972,0.0032413278073099,0.9994267355518152,0.9904297514195196,0.0030360255718923,1.0670334012071827,0.0008173752888795,0.0012498073697173,0.9999116134502912,0.8424393904080222
3,3,equal_total,wells,15,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,14494397367.001217,0.000644283170134,0.0821036851732764,0.1035534542889266,0.0025011279007776,0.9991883528179416,0.991697573060973,0.0028452957221935,1.0,0.0007660259631561,0.0011712917030557,0.9999377156252488,0.8479489263951621
3,3,equal_total,wells,20,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",2120,597032.3430311559,0.0009200392504858,0.1172444298882269,0.1478747961853179,0.0035716218362834,0.9994875045449914,0.9888296599896628,0.0028714536546484,1.0091933967534372,0.0007730683437588,0.0011820598523959,0.9999170856203774,0.8476031950029872
3,3,equal_total,wells,20,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",330,2249689.2630733517,0.0007912396150643,0.1008309564230062,0.127173266520527,0.0030716175265389,0.9989058034690446,0.9888476522171364,0.0026608711562049,0.9351826368872432,0.0007163741801484,0.0010953716634278,0.999944029706114,0.8552870958046971
3,3,equal_total,wells,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",920,25618.659687027357,0.0007145100636024,0.0910529904156091,0.114840785294517,0.0027737509503634,0.999740111850176,0.993300453804504,0.0024834363550296,0.8728218777607873,0.0006686042195754,0.0010223290236667,0.999925638833014,0.8709511041738746
3,3,equal_total,wells,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",160,174414.50369062205,0.0005412859849644,0.0689783253052886,0.086999065161972,0.0021012895292808,0.9998526920603144,0.995859407665387,0.0023585414376539,0.8289266452190407,0.0006349793317897,0.0009709149019869,0.9999533402814892,0.87348907110075
3,3,equal_total,grid,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",3190,5.4620966739634364e+19,0.0050044208853358,0.6377341763539808,0.8043436386586597,0.0194273221523746,0.9987284621266864,0.8164049370363318,0.0024351136327504,0.8558385034484822,0.0006555945139102,0.0010024365382448,0.999962611194072,0.8284715068405375
3,3,equal_total,grid,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",1990,5.408462509424862e+18,0.001968370505711,0.2508376437516358,0.3163695322732189,0.0076412773437451,0.999304897117478,0.9503247365307768,0.0020866885780248,0.7333819686117284,0.0005617896288671,0.0008590042150056,0.9999598205138402,0.8998816136786704
3,3,equal_total,grid,100,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1100,5395.0356043410175,0.0005099181853858,0.0649809960864503,0.0819574248547536,0.0019795187267068,0.9997757808355314,0.9947075898329812,0.0012608592794673,0.4431382192130476,0.0003394553811839,0.0005190441194711,0.999982751396576,0.904768652613818
3,3,equal_total,grid,100,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",900,16782.543907883777,0.0006457511512049,0.0822907561092707,0.1037893979201825,0.0025068266503094,0.999877428739392,0.9947466585925084,0.001606593530897,0.5646490515433997,0.0004325358335537,0.000661368749211,0.9999712657257503,0.919268196187544
3,3,equal_total,grid,300,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-D,"lasso(l1=0.001,max_iter=20000)",470,5293.4719388486155,0.0006374344672313,0.0812309264655604,0.1024526854409267,0.0024745410167673,0.9997624962439676,0.9921813172455802,0.0009380235797172,0.3296752504144136,0.0002525398012274,0.0003861458855132,0.999987769405886,0.9509724022164632
3,3,equal_total,grid,300,4D,4D-D-2ecf0e4138e3,4D-D,4D-D,"lasso(l1=0.001,max_iter=20000)",50,461.9840895261527,0.0005251820561688,0.0669261346518907,0.0844107351671575,0.002038773561939,0.9994197412322914,0.9913003805723092,0.0008391560680915,0.2949275400606271,0.0002259221529362,0.0003454461806756,0.9999811138308002,0.9653034872844648
3,3,equal_per_property,wells,5,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",210,22919958.812534343,0.0020576577332389,0.262215886671471,0.3307203662899964,0.0079878932205911,0.9981925636143926,0.9598626628221076,0.0211305258455992,7.426477916084295,0.0056888748985263,0.0086985719660364,0.9987951614780922,0.7038826112970158
3,3,equal_per_property,wells,5,4D,4D-E-6ca320f290f9,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",20000,12493.761567120106,0.0039969527625301,0.5093483214825372,0.6424166956022466,0.0155162986336803,0.9969928378845792,0.8729591218951237,0.0036464696828209,1.2815784504852206,0.0009817223668931,0.0015011022058684,0.9998471214565214,0.8293548292825031
3,3,equal_per_property,wells,10,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",5070,2024371833.5187376,0.0016563557519976,0.2110763054212047,0.2662204564725749,0.0064300260770008,0.9986474622027268,0.9694325787445764,0.0035377351006186,1.243362885981969,0.0009524482522869,0.0014563406322381,0.9999007031301324,0.7999717622985508
3,3,equal_per_property,wells,10,4D,4D-E-6ca320f290f9,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",20000,2646562.4224226647,0.0011172506567382,0.1423758999655122,0.1795719183348211,0.0043372028314019,0.9986972602426052,0.9858290651250174,0.0022078099390038,0.775950957147523,0.0005943985793108,0.000908864918085,0.9999411806795964,0.8857856223138877
3,3,equal_per_property,wells,15,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",5920,3566243568.9258175,0.0008349564860043,0.1064019791887807,0.134199731290052,0.0032413278196389,0.9994267355750456,0.9904297512497008,0.0030360255718923,1.0670334012071536,0.0008173752888794,0.0012498073697173,0.9999116134502912,0.8424393904080193
3,3,equal_per_property,wells,15,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,9915058462.640127,0.0005853599914358,0.0745948593378256,0.094082931117234,0.0022723862339512,0.999319550675958,0.9930757630799516,0.0028452957221935,1.0,0.0007660259631561,0.0011712917030557,0.9999377156252488,0.8479489263951621
3,3,equal_per_property,wells,20,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",14280,6233206475.301109,0.0009141832611211,0.1164981767972518,0.146933582825879,0.0035488886980212,0.9994903145705728,0.9890037774879918,0.0028714536546484,1.0091933967534297,0.0007730683437588,0.0011820598523959,0.9999170856203772,0.8476031950029618
3,3,equal_per_property,wells,20,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",11040,19113099956.64636,0.000594288047374,0.0757325986548593,0.0955179073440686,0.0023070452330404,0.999422975210981,0.9923487977770308,0.0026608372561345,0.9351707224594816,0.0007163650533874,0.0010953577081574,0.9999440308408032,0.8552886826460828
3,3,equal_per_property,wells,30,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",4220,77304632388.42673,0.0007196368037697,0.091706312247025,0.115664788897555,0.0027936531198859,0.9997879490266016,0.9936908170820186,0.0024834363550296,0.8728218777607697,0.0006686042195754,0.0010223290236667,0.999925638833014,0.8709511041738778
3,3,equal_per_property,wells,30,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,105533885554.72874,0.0002625761100584,0.0334611662598304,0.0422029698597418,0.0010193288687151,0.9999410624513786,0.9988146793691204,0.0023585293452462,0.8289223952538693,0.000634976076206,0.0009709099240379,0.999953340634422,0.8734898269153957
3,3,equal_per_property,grid,30,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",3190,17478.65500728317,0.005004420883005,0.6377341760569673,0.8043436382840505,0.0194273221433267,0.9987284621270393,0.8164049371519915,0.0024351136327522,0.8558385034491134,0.0006555945139107,0.0010024365382456,0.9999626111940716,0.8284715068404559
3,3,equal_per_property,grid,30,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",2030,67188.34967057603,0.0019683705195632,0.2508376455168821,0.3163695344996395,0.0076412773975198,0.999304897116002,0.9503247363710902,0.0020866885780248,0.733381968611728,0.0005617896288671,0.0008590042150056,0.9999598205138402,0.8998816136786706
3,3,equal_per_property,grid,100,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",8740,1.7408572141562893e+18,0.0004081270748731,0.0520093313303625,0.0655968840271899,0.0015843623756549,0.9998606258536435,0.9967847099921496,0.0012608592792933,0.4431382191518915,0.0003394553811371,0.0005190441193995,0.9999827513965684,0.9047686526152336
3,3,equal_per_property,grid,100,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,2.5607908592018447e+18,0.0001960102398131,0.0249784004399953,0.0315040627313456,0.000760918028532,0.999956386678612,0.999306125601135,0.0016066000992795,0.5646513600494872,0.0004325376019293,0.0006613714531451,0.9999712653068642,0.91926794890179
3,3,equal_per_property,grid,300,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",3240,143987.9349674882,0.0003647185574072,0.0464776033308254,0.0586199798683827,0.001415849120617,0.999893798960242,0.9969228988546562,0.0009380216538054,0.3296745735386302,0.000252539282723,0.0003861450926942,0.999987769411842,0.9509722719221634
3,3,equal_per_property,grid,300,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",1990,98354.08007241132,0.0002126711085453,0.0271015642668785,0.0341819077979958,0.0008255960545443,0.999979341384351,0.9993496172222988,0.001404681322965,0.4936855287162026,0.000378175932631,0.0005782497637039,0.999975423728342,0.9288728163542505
4,4,equal_total,wells,5,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",1060,40750878.23599718,0.0030664509034121,0.9063641733657752,0.4904266354237008,0.0118452720426888,0.9978056690424568,0.758500524595184,0.031230320649614,10.89144324728396,0.0084005914301661,0.0128449210812315,0.9973983718238904,0.6882199957749388
4,4,equal_total,wells,5,4D,4D-E-4f4328240852,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",20000,40618.54188988095,0.0024907745327881,0.7362090154253077,0.3983569971249515,0.0096215145349457,0.993158174764921,0.8470866603222689,0.0028558271419501,0.9959577293353012,0.0007681841401458,0.0011745916627481,0.9998777142395726,0.8678121659238412
4,4,equal_total,wells,10,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-C,"lasso(l1=0.001,max_iter=20000)",8440,1156250430.817027,0.0026492572987289,0.7830524528939342,0.4237036183887951,0.0102337113500184,0.997681060408398,0.6462773460865602,0.0044058419084533,1.5365188734627244,0.001185120005461,0.0018121072865502,0.9998375698844588,0.7890393916404023
4,4,equal_total,wells,10,4D,4D-C-44adce3e7a5f,4D-C,4D-C,"lasso(l1=0.001,max_iter=20000)",20000,2301668.8081997945,0.0031453863041131,0.9296954515956276,0.5030510093990203,0.012150188483406,0.9961996083314252,0.8667601225868126,0.0040563852772427,1.4146473400603294,0.0010911202539279,0.0016683770027797,0.9998081943412408,0.8254438152131817
4,4,equal_total,wells,15,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-A,"lasso(l1=0.001,max_iter=20000)",6520,1870060218.8138409,0.0016436224798862,0.4858126143972618,0.2628694435708787,0.0063490843398364,0.99817353216373,0.8594349598840304,0.0042640231764931,1.4870601859303223,0.0011469724232537,0.0017537777407121,0.9998457099915286,0.8137434056196772
