comparison,capacity_regime,geometry,budget,metric,mean_improvement,median_improvement,std_improvement,iqr_improvement,four_d_wins,ties,wilcoxon_p,empirical_advantage,fold_differences
optimized,equal_total,wells,30,ssim_p,-0.0006896672724884146,0.0002272608006257948,0.0024595068261813306,0.0002169701434575344,8,0,0.431640625,True,"[0.0002737563239776364, 0.0003077798673080112, 0.00014811884169374512, -0.007337675734354399, -0.0020909197311388406, 0.0003940410313623133, 0.00041675818389186325, 0.0001807652772739532, 0.0006330373526179933, 0.00017766586248357807]"
optimized,equal_total,wells,30,ssim_so,-1.9159636069521202e-05,-2.29487043507115e-06,5.334068132806418e-05,3.6018626224487704e-05,5,0,0.6953125,False,"[8.56048239683549e-06, 3.065877272567796e-05, 1.8381108937592927e-05, -0.00011958738914885636, -0.00011201002161720375, 8.254069036039979e-07, -9.385402078176952e-06, -5.415147773746298e-06, -2.3661764536719865e-05, 2.0037593495780825e-05]"
optimized,equal_total,wells,30,rmse_p,0.06889093174606244,0.0523377858815453,0.10985647008448332,0.07285209171771515,8,0,0.10546875,True,"[0.1068899285334472, 0.0875348907982905, 0.026361272675069602, -0.0502049725503978, 0.0473487977334385, -0.10519424548668638, 0.2382373655737557, 0.0377124915025627, 0.2428970146514922, 0.0573267740296521]"
optimized,equal_total,wells,30,rmse_so,1.2906383160013295e-08,6.387039389465e-05,0.00018573251021493132,0.000269121874817975,6,0,1.0,False,"[0.00011249917267170003, 0.0002279994100471, 0.00016139623373350007, -0.00013883616834559998, -0.00032110269009419997, 7.374878071920001e-05, -8.315050639129997e-05, 5.399200707009998e-05, -0.0002411936139696, 0.00015477643839069996]"
optimized,equal_total,wells,30,train_range_nrmse_p,0.0016655293410731398,0.0012641142774460002,0.0026528608145097127,0.0017555784294052252,8,0,0.10546875,True,"[0.0025817119027566, 0.0021142297743209, 0.0006367041547804, -0.0012126004478558, 0.0011436152719607002, -0.0025407560787124002, 0.0057541458846676, 0.0009269393006286, 0.005866690365253499, 0.0013846132829313002]"
optimized,equal_total,wells,30,train_range_nrmse_so,1.9734500190005283e-08,9.766100111215006e-05,0.0002839942229976128,0.000411500698731525,6,0,1.0,False,"[0.00017201681651650002, 0.0003486224098587001, 0.0002467828488445001, -0.0002122873895778999, -0.0004909819442500001, 0.0001127655446703001, -0.00012714124967750002, 8.255645755400002e-05, -0.00036879700226950026, 0.0002366608533328]"
current,equal_per_property,full,9900,anomaly_relative_frobenius_p,-0.2099947038611502,-0.18778005330858671,0.09642891755205099,0.11605418539111839,0,0,0.001953125,False,"[-0.2158081387136375, -0.364001122034961, -0.15975196790353596, -0.3629419464705044, -0.10204055938012989, -0.1490338995770033, -0.2695551817595017, -0.1099202470037078, -0.22631675579213348, -0.14057721997638728]"
current,equal_per_property,full,9900,anomaly_relative_frobenius_so,-4.4494738558302425,-4.771410867726427,0.8578964570815826,0.8491901744386547,0,0,0.001953125,False,"[-5.251262333579003, -4.875505776947049, -5.198795971716676, -4.979569888418875, -4.96795264627371, -4.073013740218109, -4.667315958505806, -3.7300221746748883, -2.460439674846916, -4.290860393121389]"
current,equal_per_property,full,9900,anomaly_ssim_p,-0.11374017350102102,-0.09150119795218992,0.04411374252679348,0.05274713232859976,0,0,0.001953125,False,"[-0.0789748298567371, -0.16616944549977752, -0.0883069141559859, -0.15010489911491753, -0.08457418889293, -0.09414668084613997, -0.08885571505823986, -0.10270331280442235, -0.20518281351357515, -0.07838293526748474]"
current,equal_per_property,full,9900,anomaly_ssim_so,-0.5025926090811565,-0.50775971658137,0.01551594295465527,0.025557802030811205,0,0,0.001953125,False,"[-0.5033458091047416, -0.5121736240579984, -0.5143257026890815, -0.4801023877579136, -0.5242868019320566, -0.4880959179921086, -0.48873735364555004, -0.516469825453403, -0.48610946050083575, -0.5122792076778759]"
current,equal_per_property,full,9900,relative_frobenius_p,-0.0013367530160225698,-0.00124513080203835,0.0002563645943859325,0.00021604208655917482,0,0,0.001953125,False,"[-0.0010354239094776, -0.0015105314322054, -0.0012536039533283998, -0.0012279210634592002, -0.0012667534535604, -0.0011942897136018, -0.0012366576507482998, -0.0014827222003165998, -0.0019520165685899, -0.0012076102149380999]"
current,equal_per_property,full,9900,relative_frobenius_so,-0.01455976175515658,-0.014593761025489201,0.0002008345130834664,0.00022427809355524998,0,0,0.001953125,False,"[-0.0146389744653657, -0.0146340837518346, -0.0147921119388823, -0.0142785084383804, -0.0148314736313689, -0.0144476493083043, -0.0144925189501297, -0.014697868261299301, -0.0142309905068568, -0.0145534382991438]"
current,equal_per_property,full,9900,ssim_p,-0.015922979572817908,-0.014595419710449975,0.0036070726788439977,0.0030103302293053302,0,0,0.001953125,False,"[-0.01332130548253263, -0.017074807888103227, -0.015127891567681129, -0.014341441353207585, -0.014075291857737149, -0.014849398067692365, -0.013109135263187133, -0.019294209438689647, -0.024624413990337435, -0.01341190081901078]"
current,equal_per_property,full,9900,ssim_so,-0.009203272723255352,-0.009281021572797588,0.0002306094992282872,0.00011936675439144784,0,0,0.001953125,False,"[-0.009237308786672394, -0.009108933524007212, -0.009196790747879602, -0.009322058874159822, -0.009326926418081416, -0.009324368793632742, -0.009363382827143774, -0.009327749072771896, -0.008585223916769302, -0.009239984271435353]"
current,equal_per_property,full,9900,rmse_p,-0.21340450469125702,-0.19905049933703475,0.04038664017918178,0.031401919919546634,0,0,0.001953125,False,"[-0.16526507615030223, -0.24167538114624948, -0.2014875224047721, -0.19638507665265528, -0.2002170900213479, -0.19188809157181852, -0.1978839086527216, -0.23441018842044248, -0.31059093478050803, -0.19424177711175256]"
current,equal_per_property,full,9900,rmse_so,-0.00391635319751539,-0.00392733409220945,5.3490891991631095e-05,5.112922413222582e-05,0,0,0.001953125,False,"[-0.0039392763082823, -0.0039370532524893006, -0.0039824126914866, -0.0038407519720580997, -0.0039840875770159, -0.0038914293943589995, -0.0038994566828601, -0.0039463284847279, -0.0038251206799451002, -0.0039176149319296]"
current,equal_per_property,full,9900,train_range_nrmse_p,-0.00516434674175993,-0.00480766570282875,0.0009817218656231407,0.0008333647713771241,0,0,0.001953125,False,"[-0.0039916465476325, -0.005837184257385599, -0.004866530695722299, -0.0047432877622262, -0.0048358423617213, -0.0046346721043339, -0.0047794890439362, -0.0057615927099356, -0.0075017012754409, -0.0046915206592648]"
current,equal_per_property,full,9900,train_range_nrmse_so,-0.005988298343813021,-0.006005088676603151,8.179022773678173e-05,7.817912040867462e-05,0,0,0.001953125,False,"[-0.0060233489174762, -0.0060199497548748, -0.0060893065875515, -0.0058727003192316, -0.0060918675706231, -0.0059501886122246, -0.0059624627346063, -0.0060341320451461995, -0.0058487992980644, -0.0059902275983315005]"
current,equal_per_property,grid,30,anomaly_relative_frobenius_p,0.5413429952203066,0.42738465018379884,0.4559146269462736,0.40156995798927875,10,0,0.001953125,True,"[1.6869057476158598, 0.49444457020145616, 0.32840136344876125, 0.8087317167813937, 0.21357283776431768, 0.4285271481887961, 0.6936517128324577, 0.42624215217880157, 0.1372177402773993, 0.1957349629138227]"
current,equal_per_property,grid,30,anomaly_relative_frobenius_so,-4.048596944734727,-4.144227775619572,0.8069193401161621,0.8005437204701291,0,0,0.001953125,False,"[-4.906330236285145, -4.4962940142907915, -4.842776647140209, -3.841047533773216, -4.447408017465928, -3.793261501068967, -4.596503302368612, -3.6077130381561697, -2.1911793106491833, -3.763455846149048]"
current,equal_per_property,grid,30,anomaly_ssim_p,0.08051473280902147,0.01943126158823394,0.3087171545174123,0.2929425853387704,6,0,0.556640625,False,"[0.29994786404155643, -0.11488980922468228, 0.018079322129054165, 0.594685272079539, -0.020879948838542495, -0.03297465974659741, -0.5217490319462894, 0.41002229739668533, 0.15212282115207754, 0.020783201047413713]"
current,equal_per_property,grid,30,anomaly_ssim_so,-0.37366635040453694,-0.3798901922708645,0.03160002202432752,0.05181740005642349,0,0,0.001953125,False,"[-0.3711648614072297, -0.3380080607105743, -0.39841139885361077, -0.3322220871974112, -0.3886155231344993, -0.3927361301432384, -0.3577868959536444, -0.4255988223530725, -0.3954481827226077, -0.3366715415694811]"
current,equal_per_property,grid,30,relative_frobenius_p,0.0033340846452271805,0.0026937378278637505,0.002079470966312479,0.0011879537540325745,10,0,0.001953125,True,"[0.0080935897715806, 0.0020518455014565005, 0.0025770277067659, 0.0027361365071758006, 0.0026513391485517004, 0.0034340211625244, 0.0031823157396924998, 0.0057496113680033005, 0.0011835239577752, 0.0016814355887459]"
current,equal_per_property,grid,30,relative_frobenius_so,-0.0132625822904718,-0.013475591041235802,0.0009493403309661035,0.0008608755142390772,0,0,0.001953125,False,"[-0.0136774052570857, -0.0134958599555196, -0.013779131677646701, -0.011013888920558, -0.013277424209842199, -0.013455322126952001, -0.0142726380228256, -0.0142159184252069, -0.012673609634672203, -0.012764624674409098]"
current,equal_per_property,grid,30,ssim_p,-0.015620408468695057,-0.014321715859468953,0.005064115920030965,0.0032773899957372343,0,0,0.001953125,False,"[-0.0121007468943094, -0.015747325751148455, -0.013888741772901336, -0.01590991629331362, -0.013106242618097785, -0.01475468994603657, -0.012328490463188624, -0.01668764449834048, -0.029259862439600104, -0.012420424010014197]"
current,equal_per_property,grid,30,ssim_so,-0.009495986738382733,-0.009554114445256445,0.00030475331681131346,0.00020003579314964437,0,0,0.001953125,False,"[-0.009523111344372448, -0.009622695336605647, -0.0093950626848196, -0.009403561933987392, -0.009605904878841831, -0.009463161914098017, -0.009941916516748805, -0.009665977825547012, -0.00875335740266614, -0.009585117546140443]"
current,equal_per_property,grid,30,rmse_p,0.5319680597339189,0.42832832943575766,0.330644439573597,0.19135528896951792,10,0,0.001953125,True,"[1.2918261957119612, 0.3282821747666299, 0.4141969450767271, 0.4375984692209024, 0.4190581896506129, 0.5517486752077866, 0.5092185996313289, 0.9089817929684725, 0.18831387924440957, 0.2704556758603569]"
current,equal_per_property,grid,30,rmse_so,-0.0035674261303802494,-0.0036274912526082,0.000255152326482505,0.00023367650136150043,0,0,0.001953125,False,"[-0.0036805227453252, -0.0036308333500113, -0.0037096926454757003, -0.0029626074582102, -0.0035666328352782, -0.0036241491552050998, -0.0038402940104247003, -0.0038169265651727996, -0.0034065152583566006, -0.0034360872803427]"
current,equal_per_property,grid,30,train_range_nrmse_p,0.0128873552493429,0.010345411972523949,0.00803590849608631,0.004621801482294326,10,0,0.001953125,True,"[0.031201471565384897, 0.007928997705266798, 0.010004104091572, 0.010569313611826099, 0.010121510333221798, 0.0133263829591617, 0.0122991542590646, 0.0223419592259269, 0.0045483441720838985, 0.006532314569920299]"
current,equal_per_property,grid,30,train_range_nrmse_so,-0.005454771546597069,-0.00554661409853715,0.00039014056624529775,0.0003573029641399002,0,0,0.001953125,False,"[-0.0056277018819907, -0.0055517243312803, -0.0056723041065476, -0.004529973789550799, -0.005453558559027599, -0.005541503865794, -0.005872000073172999, -0.005836270090037, -0.0052087308398875995, -0.0052539479286821]"
current,equal_per_property,grid,100,anomaly_relative_frobenius_p,-0.406768661310985,-0.3315846205735774,0.2901801857889588,0.35408246328998594,0,0,0.001953125,False,"[-0.5840237456722346, -1.0553697931523558, -0.2439205607436675, -0.40183792318474987, -0.10358333650970153, -0.13223868723317478, -0.6031363262623488, -0.26133131796240494, -0.48872848601363633, -0.19351643637557628]"
current,equal_per_property,grid,100,anomaly_relative_frobenius_so,-4.495117520248083,-4.7917724258868555,0.8788954758055855,0.7996216877908333,0,0,0.001953125,False,"[-5.340466412515223, -4.890890953986753, -5.320038520323779, -5.021911601896662, -4.995915364153901, -4.1805236038456846, -4.692653897786958, -3.716248918770296, -2.4709333220580834, -4.321592607143501]"
current,equal_per_property,grid,100,anomaly_ssim_p,-0.28360264868389584,-0.19332182875358528,0.21418423952173912,0.2543354017447511,0,0,0.001953125,False,"[-0.6708287817306302, -0.6241063365703958, -0.12470476014222898, -0.1798933571113035, -0.09322860914545916, -0.1178567840203002, -0.274879246208131, -0.20675030039586706, -0.41508873817805075, -0.12868957333659203]"
current,equal_per_property,grid,100,anomaly_ssim_so,-0.4683107285426491,-0.46822018870403237,0.015677071891455185,0.020044050206986574,0,0,0.001953125,False,"[-0.47064569498614656, -0.45775788496792813, -0.49725678940728996, -0.44853592481831817, -0.4817292927320276, -0.4754107736842503, -0.4593238285428905, -0.47912097019679034, -0.4657946824219181, -0.44753144366893144]"
current,equal_per_property,grid,100,relative_frobenius_p,-0.00249707717785294,-0.0023405713251875996,0.0012284899133365584,0.001909127280841225,0,0,0.001953125,False,"[-0.0028020822271864, -0.0043795723382511, -0.0019140908450715997, -0.0013595156326615997, -0.0012859058207057, -0.0010597005402866, -0.0027670518053035994, -0.0035251171403189, -0.0042153578019505, -0.0016623776267933998]"
current,equal_per_property,grid,100,relative_frobenius_so,-0.014701302423535933,-0.014668968409695851,0.0002511764466495479,0.0002836920771191499,0,0,0.001953125,False,"[-0.0148876491936122, -0.014680263159599902, -0.015137082843781898, -0.0143999198306763, -0.014914954361245101, -0.0148290044683759, -0.0145711959817372, -0.014643595795524302, -0.0142916849410147, -0.0146576736597918]"
current,equal_per_property,grid,100,ssim_p,-0.025359366350659295,-0.019825075302478568,0.011211677990007017,0.012167035277337673,0,0,0.001953125,False,"[-0.018574208220092814, -0.03169142706944894, -0.017693214362506038, -0.015058821483919016, -0.01688563293419998, -0.021074492124059985, -0.025247711208614798, -0.04128901665323137, -0.04750348096962287, -0.01857565848089715]"
current,equal_per_property,grid,100,ssim_so,-0.009536387443937833,-0.009585429510583221,0.00028005023306086835,2.8408028553167375e-05,0,0,0.001953125,False,"[-0.009547906854515231, -0.009576649123056558, -0.009608662346541785, -0.009584477562174176, -0.009660310468400768, -0.009838614800846801, -0.009602070005931163, -0.009585168157088764, -0.008774324256745403, -0.009585690864077678]"
current,equal_per_property,grid,100,rmse_p,-0.3984710767595231,-0.3752077209994731,0.1953430114727432,0.2998658648295756,0,0,0.001953125,False,"[-0.44724322899693936, -0.7007036010890013, -0.3076453460498274, -0.2174313884465658, -0.20324422304875134, -0.1702634729223177, -0.4427700959491187, -0.5573015450162102, -0.6707176266889288, -0.26739023938757034]"
current,equal_per_property,grid,100,rmse_so,-0.00395445181283453,-0.0039475754557466,6.885261054931824e-05,7.977297329209935e-05,0,0,0.001953125,False,"[-0.0040061934593278, -0.003949477042774, -0.0040752876315588, -0.0038734102182891, -0.0040065124922392, -0.003994146220323299, -0.0039206260653356, -0.003931756509131501, -0.0038414346206468, -0.0039456738687192]"
current,equal_per_property,grid,100,train_range_nrmse_p,-0.00964801764508275,-0.009062392924376049,0.0047401186883456676,0.007420762697215351,0,0,0.001953125,False,"[-0.010802263445871799, -0.0169240905299122, -0.007430561962739799, -0.005251619224441199, -0.0049089566904079, -0.004112372799563399, -0.010694223886012297, -0.013697973371541501, -0.0161998394420261, -0.0064582750983113]"
current,equal_per_property,grid,100,train_range_nrmse_so,-0.006046553016849651,-0.006036038725700649,0.00010527905756337596,0.00012197683399677462,0,0,0.001953125,False,"[-0.0061256685614329, -0.006038946346610299, -0.0062313169787924, -0.0059226363980155, -0.0061261563785828, -0.0061072477352868, -0.005994831770703, -0.0060118507714894, -0.0058737441227924, -0.006033131104790999]"
current,equal_per_property,grid,300,anomaly_relative_frobenius_p,-0.16400527189888367,-0.1535070635546649,0.08007783836396604,0.12339573919757155,0,0,0.001953125,False,"[-0.15160962059007338, -0.28665398574935896, -0.1554045065192564, -0.2740377055359874, -0.07878112195467452, -0.06433353321062452, -0.23268872548241723, -0.10951798242098089, -0.1915278438351014, -0.09549769369036201]"
current,equal_per_property,grid,300,anomaly_relative_frobenius_so,-4.427130148397963,-4.75341307026523,0.853790607902814,0.8159305432550248,0,0,0.001953125,False,"[-5.24483792428483, -4.873019106958604, -5.1969883192503445, -4.914690413217537, -4.929538881500673, -4.057182102933471, -4.633807033571857, -3.692066360076699, -2.461132766286577, -4.268038575899043]"
current,equal_per_property,grid,300,anomaly_ssim_p,-0.10412637018871482,-0.09634472230976171,0.05232519955930557,0.0291089457670084,0,0,0.001953125,False,"[-0.05678163739187336, -0.16779663163278125, -0.09787584540149541, -0.09882496142253261, -0.07380528260297436, -0.05285766881068599, -0.09481359921802801, -0.10389973300843625, -0.22118064413939642, -0.07342769825894446]"
current,equal_per_property,grid,300,anomaly_ssim_so,-0.47753170590526056,-0.4788172990706382,0.018496153537180884,0.014610284032745335,0,0,0.001953125,False,"[-0.478562161014701, -0.4892098575947111, -0.5007962896080506, -0.4334720284047742, -0.48792864404484154, -0.47325460664178653, -0.4649876046345826, -0.49068016920994934, -0.4773532607726336, -0.47907243712657543]"
current,equal_per_property,grid,300,relative_frobenius_p,-0.0010574269263264502,-0.0010227642789389,0.00034247778832503426,0.00036495112529104996,0,0,0.001953125,False,"[-0.0007274064222114001, -0.001189556376147, -0.0012194886003234, -0.0009271363480632998, -0.0009780057941439, -0.0005155395998573001, -0.0010675227637339001, -0.0014772960241255001, -0.0016519568920289, -0.0008203604426299]"
current,equal_per_property,grid,300,relative_frobenius_so,-0.014488321795527389,-0.0145121695653177,0.00021656426586135966,0.00023600561983069812,0,0,0.001953125,False,"[-0.0146210651023138, -0.0146266198827431, -0.0147869686330527, -0.0140924718619494, -0.0147167920351704, -0.0143914918882577, -0.0143884701276542, -0.0145483062649921, -0.0142349992934972, -0.0144760328656433]"
current,equal_per_property,grid,300,ssim_p,-0.016080583294909946,-0.015201988545231915,0.0036218466135686266,0.00339257642795171,0,0,0.001953125,False,"[-0.012500745094017218, -0.017529440095431226, -0.015342302728745927, -0.01533728466523987, -0.014223973634893028, -0.01506669242522396, -0.013144472273040386, -0.020117025828417345, -0.024165114981310576, -0.013378781222779912]"
current,equal_per_property,grid,300,ssim_so,-0.009396976033209858,-0.009462408649074772,0.0002388008557847446,9.917202209619447e-05,0,0,0.001953125,False,"[-0.009408213940294008, -0.009359795243445324, -0.009428140899423454, -0.009523168088608203, -0.009479966542865648, -0.009577904940163195, -0.00952608516852338, -0.009478919152299814, -0.00874166821062583, -0.00944589814584973]"
current,equal_per_property,grid,300,rmse_p,-0.16872919741865244,-0.1626993824984218,0.054153663998481684,0.05854859550071784,0,0,0.001953125,False,"[-0.1161020879068152, -0.1903214222960941, -0.1960042771304611, -0.14827968034765648, -0.15457899370799946, -0.0828324223340916, -0.17081977128884418, -0.2335523399420932, -0.2628475821201523, -0.1319533971123165]"
current,equal_per_property,grid,300,rmse_so,-0.0038971434104585903,-0.0039014749428515,5.826540690268104e-05,6.222682891135001e-05,0,0,0.001953125,False,"[-0.003934456986427999, -0.0039350452244788, -0.0039810279827649, -0.0037907103062296997, -0.0039532813648968, -0.0038763035679759998, -0.003871460592081, -0.0039061715887912995, -0.0038261981940277, -0.0038967782969117]"
