method,regime,budget,placement,rmse_p_mean,rmse_p_median,rmse_p_sd,rmse_so_mean,rmse_so_median,rmse_so_sd,score_mean,score_median,score_sd,condition_mean,condition_median,condition_sd,online_seconds_per_snapshot_mean,online_seconds_per_snapshot_median,online_seconds_per_snapshot_sd,basis_seconds_mean,basis_seconds_median,basis_seconds_sd,basis_clustering_placement_seconds_mean,basis_clustering_placement_seconds_median,basis_clustering_placement_seconds_sd
POD-E,well_joint,16,dg_pressure,0.1798740600598993,0.17134375577005634,0.05272227164561908,0.0005843052743069,0.00056980982092015,0.00010017403702893257,0.4529280653284097,0.4462682050437181,0.10829978283557082,5.0902733343494136e+19,2.8501036863493865e+19,4.425381939413207e+19,0.000554534836090808,5.592105446708969e-07,0.0008919822279917308,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,17,condition_joint,0.2549978414340811,0.21498638857791552,0.12611897243519074,0.00053242264242285,0.00054878938537525,0.00011427893706842224,0.4768624896417699,0.4412369181433708,0.1887041610601508,141926.95876471477,144149.0178993525,36141.8733665704,0.0006003798872240565,6.688609218165362e-07,0.0009734221271793202,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,17,condition_pressure,0.1887825590638161,0.18530199287221016,0.07762372606167231,0.0005706217791000201,0.0005779980040746,0.000104273705962267,0.44835737799302544,0.45610006352525,0.11574117434096172,734645.7245397754,412545.3411025806,780683.5043604187,0.0005619360601471974,6.987782098051804e-07,0.0009039371279820164,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,17,configured,0.11084606783475184,0.11333833983112654,0.026707784993337255,0.00067261056864261,0.0006707993612459001,0.00011556321251281396,0.47441495349830654,0.4952568365721737,0.10132233852973331,1.320350198257414e+20,1.3202317010033125e+20,7.989192305845266e+19,0.0005559510014941516,5.994661478325725e-07,0.000894183836472273,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,17,dg_joint,0.2906233589631889,0.2727034325878392,0.1492077621876125,0.00056815679772389,0.0005875977871140001,0.00011464096714407384,0.5254737737748024,0.46095271755278877,0.22752225608678966,338326.6641319539,348104.1467384803,164237.58031137913,0.00060542606540427,6.046390801640157e-07,0.000982573283517687,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,17,dg_pressure,0.18878255906381125,0.18530199287222143,0.0776237260616801,0.0005706217791000201,0.0005779980040746,0.000104273705962267,0.4483573779930216,0.45610006352525,0.11574117434094883,734645.7245397868,412545.3411025775,780683.5043604284,0.0005562867804443828,7.501579042089949e-07,0.0008947321184886486,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,18,condition_joint,0.20796257207393026,0.18168802616323332,0.08371435402146087,0.0005558502755105301,0.00055086609931755,0.00012066591371082297,0.45890016220709484,0.4547220213579466,0.1311153438894337,73908.63607965063,76208.40126522255,18861.63030121432,0.0005610947353310858,6.168533615064212e-07,0.0009026112939587122,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,18,condition_pressure,0.1262003551562522,0.12309533573458875,0.04978647001153757,0.0005476454688601101,0.0005701720033222,0.00010187216469968647,0.4090707499905938,0.41596675200527505,0.11812324976370953,199369.51978928637,205895.1604630319,73795.3473820763,0.0006047578631645038,5.764398481819387e-07,0.0009796599025949976,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,18,configured,0.11181344006069963,0.1143976971045131,0.02677509910950899,0.0006684017745151001,0.0006665588967268499,0.00011435807009375391,0.47237026274989696,0.4941371982090237,0.10183081466949033,24298723.280735485,5962039.304439433,49512323.02977429,0.0005584968676796134,6.340827197239111e-07,0.0008983339172783946,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,18,dg_joint,0.24612852520277695,0.1778884044910541,0.1474849715603946,0.00055084838745679,0.0005701095494883501,0.00011964946266716751,0.49038496967128004,0.4587446546831851,0.20200644815581048,133319.36585300893,137216.6505257841,43217.03707083951,0.0005589385345929063,5.477782099462234e-07,0.000899089117257364,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,18,dg_pressure,0.1262003551562238,0.1230953357345957,0.049786470011469484,0.0005476454688601001,0.0005701720033222,0.00010187216469966739,0.409070749990568,0.41596675200527505,0.11812324976365385,199369.51978928625,205895.1604630319,73795.3473820764,0.0006187330195568423,5.624999886963349e-07,0.0010102511894020882,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,19,condition_joint,0.1923704874463968,0.1542764927830803,0.09112016590246627,0.00055361107979579,0.0005510760780279,0.00011706291568387189,0.4501024273689251,0.4312038699510349,0.131382397549193,55524.56978622391,54581.447756992406,24088.591752411176,0.0005906679496191783,5.961729017089828e-07,0.0009555745525432044,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,19,condition_pressure,0.14997438642888286,0.14084062901384103,0.05897054439399954,0.0005573891621288299,0.0005670319419994,9.20164720831808e-05,0.4310231999599038,0.4128530461583987,0.12491005867478813,84802.98338362126,75269.97977545238,36007.83208891978,0.0005819526646464212,6.22496249581358e-07,0.0009387884398343311,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,19,configured,0.11234339259722428,0.11192358978113759,0.025287645606772234,0.0006511165342687399,0.00066195239620755,0.00010551976881578406,0.465030336981722,0.453397917466074,0.11940956691614417,1092738.9523532153,970358.0062433952,378280.8138879162,0.0005606521909756041,7.921353381221651e-07,0.0009016922760452541,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,19,dg_joint,0.23989824124359366,0.23192263521694056,0.11566739368182265,0.00055892358919564,0.0005671669518634,0.00012983358422755112,0.48055217959991336,0.48521422890367616,0.1493606226825467,76407.8801779746,67166.30036002453,35748.3525205978,0.0005624202691853076,7.019060236293319e-07,0.0009046831529079104,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,19,dg_pressure,0.14401452998452538,0.12982101211192065,0.05796151114515172,0.00055552951202591,0.0005670319419994,9.13998648366103e-05,0.42739889121914576,0.4128530461583987,0.12501773242410613,75342.79666438335,64927.09302145902,36676.071496434735,0.0006158911661628617,7.233721774362056e-07,0.001004282335682868,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,20,condition_joint,0.1633927591797822,0.13645616659129284,0.07037336853964238,0.00055613226414795,0.00056129588372065,0.00011567303374659413,0.4333281154214007,0.4289757538960901,0.12962968203742364,35298.2745815409,28932.043604879535,19204.316193002684,0.0005550869037513077,7.075451096061169e-07,0.0008928295193192044,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,20,condition_pressure,0.17217799529814837,0.16560791459488416,0.06396231151850872,0.0005563342580744001,0.0005641813346999,0.00011207216756511634,0.4363945295263362,0.44365825246148793,0.11184656148221035,50799.8355360556,31995.991327311247,41271.178272797646,0.0005585527894808181,7.097443635312882e-07,0.0008984756079125556,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,20,configured,0.09714651746256177,0.09805910434744769,0.01319187738940187,0.00066022654868204,0.0006893282682246501,0.00010851119572818991,0.46132181101474534,0.45735485101103013,0.11893908754024646,614464.3466292568,512758.48414717923,259945.96809082347,0.0005566457391075647,6.560150271761267e-07,0.0008953378458148196,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
