outer_fold,test_run,label,candidate,family,architecture,rank,rmse_p,rmse_so,mae_p,mae_so,prior_rmse_p,prior_rmse_so,score,storage_floats,storage_bytes,explicit_basis_floats,basis_compression,training_compression,fit_seconds,elapsed_seconds,config_json
9,9,POD-E,POD-E-matrix-e7c774107192,POD-E,matrix,32,0.01381257623975761,0.00037483020352173537,0.007215406164548385,0.00011948748006963585,1.2891751560653035,0.001402114694793152,0.1390231649401488,316800,2534400,316800,1.0,37.40625,1.361539958998037,1.4442282500021975,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-e7c774107192"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
9,9,original_tbmd,TBMD-HOOI-joint-original-7339ef1b8352,TBMD-HOOI,joint-original,16,0.4988294132446401,0.004176233904238417,0.2629668858159147,0.0018316312196233716,1.2891751560653035,0.001402114694793152,1.6827310232898898,101860,814880,158400,1.5550755939524838,116.33909287257019,11.064081709002494,11.7833739159978,"{""architecture"": ""joint-original"", ""family"": ""TBMD-HOOI"", ""id"": ""TBMD-HOOI-joint-original-7339ef1b8352"", ""modal_energy"": 0.999999, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""energy"", ""scaling"": ""minmax"", ""spatial_ranks"": [48, 48]}"
10,10,final_accuracy,TBMD-independent-49ddb52e8039,TBMD,independent,32,0.04506948095715416,0.00031700035840357625,0.023238030679245656,0.00010500616451303447,1.3527587275870714,0.0008279661401590436,0.20809152454372246,149728,1197824,316800,2.115836717247275,79.14551720453088,0.4019990000015241,0.4809100420025061,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-49ddb52e8039"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 2.0], ""rank_strategy"": ""fixed"", ""scaling"": ""none"", ""spatial_ranks"": [80, 48]}"
10,10,final_pareto,TBMD-independent-313e1ecbdfa8,TBMD,independent,32,0.04772253244131648,0.00031797162741347486,0.025092422040086635,0.00010786901922719761,1.3527587275870714,0.0008279661401590436,0.20965867141887987,120704,965632,316800,2.6246023329798516,98.17653101802757,0.37144104100298136,0.43711987500137184,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-313e1ecbdfa8"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 0.25], ""rank_strategy"": ""fixed"", ""scaling"": ""none"", ""spatial_ranks"": [64, 48]}"
10,10,rank_optimized_joint,TBMD-joint-acd9116c1da9,TBMD,joint,32,0.020582497640402576,0.0004966404201321496,0.01194197341263972,0.00019626050832699266,1.3527587275870714,0.0008279661401590436,0.3075235010914132,259188,2073504,316800,1.22227880920413,45.72086670679198,0.5856174170039594,0.6563817080023,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-acd9116c1da9"", ""modal_rank"": 32, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [80, 48]}"
10,10,property_decoupled,TBMD-independent-49ddb52e8039,TBMD,independent,32,0.04506948095715416,0.00031700035840357625,0.023238030679245656,0.00010500616451303447,1.3527587275870714,0.0008279661401590436,0.20809152454372246,149728,1197824,316800,2.115836717247275,79.14551720453088,0.3850217090002843,0.4512864999996964,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-49ddb52e8039"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 2.0], ""rank_strategy"": ""fixed"", ""scaling"": ""none"", ""spatial_ranks"": [80, 48]}"
10,10,hybrid,TBMD-joint-residual-723209d14fc1,TBMD,joint-residual,24,0.048212349600368784,0.0006033057719698746,0.02569225156036377,0.0001855453265526569,1.3527587275870714,0.0008279661401590436,0.3821499889822288,188708,1509664,237600,1.2590881149712785,62.79701973419251,0.5645816670003114,0.6324882499975502,"{""architecture"": ""joint-residual"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-residual-723209d14fc1"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""residual_rank"": 8, ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
10,10,POD,POD-matrix-6ec0ff3d4617,POD,matrix,32,0.011789609097242885,0.00042685435648133046,0.0064458181700031295,0.00012970615685718162,1.3527587275870714,0.0008279661401590436,0.2621304508907114,316800,2534400,316800,1.0,37.40625,1.209890792000806,1.2806034170062048,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-6ec0ff3d4617"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
10,10,POD-E,POD-E-matrix-e7c774107192,POD-E,matrix,32,0.011789609097242885,0.0004268543564813305,0.006445818170005676,0.00012970615685718465,1.3527587275870714,0.0008279661401590436,0.26213045089071146,316800,2534400,316800,1.0,37.40625,1.1922948749997886,1.2636016250035027,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-e7c774107192"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
10,10,original_tbmd,TBMD-HOOI-joint-original-7339ef1b8352,TBMD-HOOI,joint-original,16,0.3165841949430936,0.0041805810347577636,0.13690367145343516,0.0018658633328433034,1.3527587275870714,0.0008279661401590436,2.641622982542838,101860,814880,158400,1.5550755939524838,116.33909287257019,9.049211457997444,9.686427166998328,"{""architecture"": ""joint-original"", ""family"": ""TBMD-HOOI"", ""id"": ""TBMD-HOOI-joint-original-7339ef1b8352"", ""modal_energy"": 0.999999, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""energy"", ""scaling"": ""minmax"", ""spatial_ranks"": [48, 48]}"
