regime,budget,metric,left,right,left_mean,right_mean,mean_delta,median_delta,left_wins,ties,wilcoxon_p,wilcoxon_p_holm
well_joint,8,rmse_so,final_pareto,POD-E,0.00102623196285407,0.00068395458493732,0.00034227737791675,0.00025404241906375007,1,0,0.01953125,1.0
well_joint,8,score,final_pareto,POD-E,0.7616684610246546,0.5208322312758706,0.2408362297487841,0.14838749588945493,1,0,0.00390625,0.703125
well_joint,8,rmse_p,final_accuracy,rank_optimized_joint,0.33989947027567435,0.2844485182146619,0.05545095206101245,0.004416034868598151,4,0,0.4921875,1.0
well_joint,8,rmse_so,final_accuracy,rank_optimized_joint,0.0011045215909398502,0.0011691784813922298,-6.465689045237998e-05,-0.00022758037865855,7,0,0.625,1.0
well_joint,8,score,final_accuracy,rank_optimized_joint,0.833987187569101,0.8702695996010436,-0.03628241203194251,-0.15443936683209347,7,0,0.6953125,1.0
well_joint,8,rmse_p,final_accuracy,original_basis_optimized_recovery,0.33989947027567435,6.7883598062182084,-6.448460335942533,-1.9915153462904551,9,0,0.00390625,0.87109375
well_joint,8,rmse_so,final_accuracy,original_basis_optimized_recovery,0.0011045215909398502,0.02404633329823868,-0.02294181170729883,-0.00791137563710715,10,0,0.001953125,0.703125
well_joint,8,score,final_accuracy,original_basis_optimized_recovery,0.833987187569101,21.24007609441999,-20.40608890685089,-6.667836051080896,10,0,0.001953125,0.703125
well_joint,8,rmse_p,final_accuracy,prior+IDW,0.33989947027567435,0.4211757635300325,-0.08127629325435808,-0.07685617622288356,7,0,0.322265625,1.0
well_joint,8,rmse_so,final_accuracy,prior+IDW,0.0011045215909398502,0.0009733389080169101,0.00013118268292294002,2.4033183381999817e-06,5,0,0.76953125,1.0
well_joint,8,score,final_accuracy,prior+IDW,0.833987187569101,0.7823166819841636,0.05167050558493739,-0.02649846038487008,5,0,0.921875,1.0
well_joint,9,rmse_p,final_accuracy,POD-E,0.3427683443164154,0.24459717334852651,0.09817117096788885,0.03381066897055779,4,0,0.193359375,1.0
well_joint,9,rmse_so,final_accuracy,POD-E,0.0011482312459905899,0.00069276645675384,0.00045546478923674994,0.00017358527914909997,0,0,0.001953125,0.703125
well_joint,9,score,final_accuracy,POD-E,0.8620025147027398,0.5375530906197845,0.32444942408295524,0.1565798527133476,0,0,0.001953125,0.703125
well_joint,9,rmse_p,final_pareto,POD-E,0.2408244656880269,0.24459717334852651,-0.003772707660499616,-0.007125381708969369,5,0,0.845703125,1.0
well_joint,9,rmse_so,final_pareto,POD-E,0.00102007756950597,0.00069276645675384,0.00032731111275213,0.00021606685121779997,1,0,0.037109375,1.0
well_joint,9,score,final_pareto,POD-E,0.7599346894323199,0.5375530906197845,0.2223815988125354,0.12870169084764538,1,0,0.013671875,1.0
well_joint,9,rmse_p,final_accuracy,rank_optimized_joint,0.3427683443164154,0.31051727608451263,0.03225106823190277,-0.009488939990751066,6,0,0.845703125,1.0
well_joint,9,rmse_so,final_accuracy,rank_optimized_joint,0.0011482312459905899,0.00116903337911632,-2.0802133125730053e-05,-0.00016441287295205,6,0,0.845703125,1.0
well_joint,9,score,final_accuracy,rank_optimized_joint,0.8620025147027398,0.8798458402957066,-0.017843325592966676,-0.10737147329389263,6,0,0.76953125,1.0
well_joint,9,rmse_p,final_accuracy,original_basis_optimized_recovery,0.3427683443164154,1.8199868788836517,-1.4772185345672366,-0.7185134015469175,9,0,0.00390625,0.87109375
well_joint,9,rmse_so,final_accuracy,original_basis_optimized_recovery,0.0011482312459905899,0.00628853367205557,-0.00514030242606498,-0.0035706406511146,10,0,0.001953125,0.703125
well_joint,9,score,final_accuracy,original_basis_optimized_recovery,0.8620025147027398,4.989200061421332,-4.127197546718592,-3.004015254506516,10,0,0.001953125,0.703125
well_joint,9,rmse_p,final_accuracy,prior+IDW,0.3427683443164154,0.4260332721915767,-0.08326492787516131,-0.06681795251167952,6,0,0.375,1.0
well_joint,9,rmse_so,final_accuracy,prior+IDW,0.0011482312459905899,0.00095103859244946,0.00019719265354113002,2.990060413704998e-05,5,0,0.556640625,1.0
well_joint,9,score,final_accuracy,prior+IDW,0.8620025147027398,0.7719530341688093,0.0900494805339305,0.007222887089124275,4,0,0.6953125,1.0
well_joint,10,rmse_p,final_accuracy,POD-E,0.2955917269143956,0.25630332361412567,0.03928840330027002,0.014758880476682848,3,0,0.275390625,1.0
well_joint,10,rmse_so,final_accuracy,POD-E,0.0010613156258115698,0.0006589265814127699,0.00040238904439879997,0.00025444378590294995,0,0,0.001953125,0.703125
well_joint,10,score,final_accuracy,POD-E,0.7797579786783468,0.5327326675791842,0.24702531109916265,0.21879140746243567,0,0,0.001953125,0.703125
well_joint,10,rmse_p,final_pareto,POD-E,0.22745151027976585,0.25630332361412567,-0.028851813334359776,-0.021807181511480936,7,0,0.232421875,1.0
well_joint,10,rmse_so,final_pareto,POD-E,0.00107753634067951,0.0006589265814127699,0.00041860975926674,0.00029205135475959994,1,0,0.005859375,0.703125
well_joint,10,score,final_pareto,POD-E,0.7959031556658854,0.5327326675791842,0.26317048808670124,0.16222512041961756,2,0,0.009765625,1.0
well_joint,10,rmse_p,final_accuracy,rank_optimized_joint,0.2955917269143956,0.3231987156050055,-0.02760698869060988,-0.0516936493672558,7,0,0.4921875,1.0
well_joint,10,rmse_so,final_accuracy,rank_optimized_joint,0.0010613156258115698,0.00106964621926446,-8.330593452890011e-06,-0.00016657038207090004,6,0,0.845703125,1.0
well_joint,10,score,final_accuracy,rank_optimized_joint,0.7797579786783468,0.8495234859064642,-0.06976550722811739,-0.14052280792650929,7,0,0.556640625,1.0
well_joint,10,rmse_p,final_accuracy,original_basis_optimized_recovery,0.2955917269143956,1.2339045385739282,-0.9383128116595326,-0.37489230860332706,10,0,0.001953125,0.703125
well_joint,10,rmse_so,final_accuracy,original_basis_optimized_recovery,0.0010613156258115698,0.006242343333736669,-0.005181027707925101,-0.0036510496057528498,10,0,0.001953125,0.703125
well_joint,10,score,final_accuracy,original_basis_optimized_recovery,0.7797579786783468,4.658800531396944,-3.879042552718596,-2.582591640266867,10,0,0.001953125,0.703125
well_joint,10,rmse_p,final_accuracy,prior+IDW,0.2955917269143956,0.4064661855601588,-0.11087445864576315,-0.08253564544212354,6,0,0.16015625,1.0
well_joint,10,rmse_so,final_accuracy,prior+IDW,0.0010613156258115698,0.0009046360624118601,0.00015667956339970998,0.00011328622805575,4,0,0.193359375,1.0
well_joint,10,score,final_accuracy,prior+IDW,0.7797579786783468,0.7373610523049003,0.042396926373446484,-0.013131884458829901,5,0,0.76953125,1.0
well_joint,11,rmse_p,final_accuracy,POD-E,0.2739687575923921,0.24693670216919825,0.027032055423193847,-0.03416630663874025,6,0,0.921875,1.0
well_joint,11,rmse_so,final_accuracy,POD-E,0.00108610660380628,0.00070855170559095,0.00037755489821532997,0.00019315323760834996,0,0,0.001953125,0.703125
well_joint,11,score,final_accuracy,POD-E,0.7894917048569666,0.5570918646174776,0.23239984023948906,0.1451565963351591,0,0,0.001953125,0.703125
well_joint,11,rmse_p,final_pareto,POD-E,0.2305388068256191,0.24693670216919825,-0.016397895343579116,-0.031857801577439046,7,0,0.375,1.0
well_joint,11,rmse_so,final_pareto,POD-E,0.00100418534095986,0.00070855170559095,0.00029563363536891,0.00015152810434529998,1,0,0.005859375,0.703125
well_joint,11,score,final_pareto,POD-E,0.7508394106483094,0.5570918646174776,0.1937475460308319,0.12130913693643336,3,0,0.02734375,1.0
well_joint,11,rmse_p,final_accuracy,rank_optimized_joint,0.2739687575923921,0.3340009107130183,-0.06003215312062622,-0.07464973257477678,6,0,0.10546875,1.0
well_joint,11,rmse_so,final_accuracy,rank_optimized_joint,0.00108610660380628,0.0010535993352314798,3.2507268574799965e-05,-8.584547203545004e-05,7,0,0.921875,1.0
well_joint,11,score,final_accuracy,rank_optimized_joint,0.7894917048569666,0.835329818508457,-0.04583811365149043,-0.12285797785172148,7,0,0.6953125,1.0
