method,regime,budget,n_folds,rmse_p_mean,rmse_p_median,rmse_p_sd,rmse_p_q25,rmse_p_q75,rmse_so_mean,rmse_so_median,rmse_so_sd,rmse_so_q25,rmse_so_q75,mae_p_mean,mae_p_median,mae_p_sd,mae_p_q25,mae_p_q75,mae_so_mean,mae_so_median,mae_so_sd,mae_so_q25,mae_so_q75,score_mean,score_median,score_sd,score_q25,score_q75,condition_mean,condition_median,condition_sd,condition_q25,condition_q75,online_seconds_per_snapshot_mean,online_seconds_per_snapshot_median,online_seconds_per_snapshot_sd,online_seconds_per_snapshot_q25,online_seconds_per_snapshot_q75,storage_floats_mean,storage_floats_median,storage_floats_sd,storage_floats_q25,storage_floats_q75,memory_bytes_mean,memory_bytes_median,memory_bytes_sd,memory_bytes_q25,memory_bytes_q75,basis_seconds_mean,basis_seconds_median,basis_seconds_sd,basis_seconds_q25,basis_seconds_q75,measurements_mean,measurements_median,measurements_sd,measurements_q25,measurements_q75,pareto_accuracy_storage,pareto_pressure_storage,pareto_accuracy_measurements
rank_optimized_joint,well_joint,21,10,0.09609979322027595,0.09351491729023735,0.021111911650821904,0.0818061193504956,0.1138976293637902,0.0006319769562798401,0.0006543834039338,0.00010890297688709895,0.0005570686927778,0.0006713225305318,0.07290687192449577,0.0691868884455852,0.018668810659919755,0.0610303238062913,0.0795720208857213,0.00025308694996452,0.0002522096784323,3.797255976888552e-05,0.0002297372751893,0.0002736632108959,0.4471511922908607,0.4463681619621863,0.12492267713637407,0.3694893928027146,0.5153801349155697,48317.15601614008,34298.57344569692,37908.26607898803,24386.451847561413,63876.305108749606,0.00150252086391271,0.0018590817631857,0.0007919714662254452,0.0018466578947386,0.0018781566465797,259188.0,259188.0,0.0,259188.0,259188.0,2073504.0,2073504.0,0.0,2073504.0,2073504.0,1.1137917291998747,1.0975723335031944,0.17525642300395397,0.9818984160010586,1.2366713330047787,42.0,42.0,0.0,42.0,42.0,False,False,False
POD,well_joint,22,10,0.3877801963912618,0.3280848585946271,0.19465226887709897,0.2444819465411656,0.5744588101612864,0.00101329733230076,0.0008652211896668001,0.00045541856674826396,0.0007996388309189,0.0013040882800941,0.22129489391578097,0.21034687562231458,0.09457782734681135,0.1367308277612176,0.2245942914004563,0.00027870578899335,0.00025766549335215,0.00010305273160795643,0.0002249615205914,0.000360553973776,0.8587147277410878,0.7134622581462939,0.46491642333399497,0.5666089401611084,1.3290016277294998,244.89757099681182,91.30672164877214,279.4367562562902,74.02474067563125,429.8740421209764,1.0483405973825296e-06,7.373157843135129e-07,6.308720333631513e-07,7.136616461098026e-07,8.452405559627297e-07,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.292954733499937,1.29505272949973,0.10029715001858687,1.2014440409984672,1.352346416999353,44.0,44.0,0.0,44.0,44.0,False,False,False
POD-E,well_joint,22,10,0.10754497604442029,0.10064340881680639,0.04594536870037491,0.0736085526038214,0.134845781467025,0.00060494239324761,0.0006119334877986999,0.00011288597750129042,0.0004887859341793,0.0007082565987577,0.0811188671435055,0.0685177435277181,0.044177975771861666,0.0468291274285606,0.1106483923751012,0.00019478140779957,0.00019931698827860002,3.924258259182416e-05,0.0001494146802474,0.0002225208667351,0.4346281480109263,0.4209066332255922,0.12304216835063317,0.3596168240946515,0.5147073058877356,95022.82349462963,25901.835828041243,138590.5528016409,18000.094758741787,70380.90985882534,0.0005668511594016668,9.260676920245913e-07,0.0009114773551768979,7.183533805226417e-07,0.0018531889097784,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.25942648339842,1.241910395994637,0.08394504072825856,1.2020911250001518,1.3391447919930215,44.0,44.0,0.0,44.0,44.0,False,False,True
final_accuracy,well_joint,22,10,0.1853116430129873,0.17350261124047395,0.054894503891321264,0.1497917723954415,0.197145282647135,0.0006725132964876298,0.00069804553599855,0.0001408372578061058,0.0005363690521104,0.0007293856581475,0.14285386370036338,0.11564627547991435,0.062338638335710315,0.0976439999529832,0.1630382698194827,0.00019974185999422,0.00021072356250625,3.7393088545322054e-05,0.0001639573350843,0.0002226577164382,0.5160691077413485,0.49282481050719884,0.1579231470147553,0.3938218209645869,0.6054916809121371,13077874.839737553,10792853.476131339,11422967.338311164,296701.6521491888,22083292.15746919,0.0013664332699118737,0.00184825814659075,0.0007730622556049227,0.0009695845864528,0.0018617490601254,149728.0,149728.0,0.0,149728.0,149728.0,1197824.0,1197824.0,0.0,1197824.0,1197824.0,0.6617432206992817,0.623701541499031,0.1423143578430971,0.5486494580036378,0.6849100419931347,44.0,44.0,0.0,44.0,44.0,False,False,False
final_pareto,well_joint,22,10,0.1931469724203052,0.181200001307174,0.035526126248052285,0.1661120400320894,0.2179804002242295,0.00067538038558659,0.0006687367139428,0.0001513680858521574,0.0005509028393494,0.0007591225521652,0.15660187850418703,0.15841076235053195,0.0346673316160424,0.1291820517615148,0.1749843489317412,0.00019997129865401004,0.00020496556918485,4.315862612269125e-05,0.0001647434187135,0.0002210688854102,0.5175078871616977,0.5333738263629031,0.12279959958728408,0.383732775932151,0.6343841713469055,20382432.622581262,20220831.436036967,15652012.269192431,12283464.414572883,27833202.79294829,0.0013764632210566973,0.0018470650075164499,0.0007776414623305251,0.0009451591504056,0.0018556510000135,120704.0,120704.0,0.0,120704.0,120704.0,965632.0,965632.0,0.0,965632.0,965632.0,0.5578846539989172,0.5259898334988975,0.12132465539589683,0.5040131669957191,0.586913375002041,44.0,44.0,0.0,44.0,44.0,False,False,False
hybrid,well_joint,22,10,0.2178733369949935,0.2369634554656042,0.07720855662156326,0.1503130621670956,0.2789411667529158,0.00079454148158232,0.0007966962101845,0.00011638743245018458,0.0007188802126569,0.0009017146811125,0.1717997227458698,0.1780796714845963,0.06621540819724865,0.1069434145651277,0.2270678021734573,0.00030773829900828,0.00031470291891050003,4.20275295859124e-05,0.0002615701370906,0.0003352335654232,0.5931724684371592,0.5763907690313368,0.1124902846081431,0.5258616480314832,0.6585868275791583,4185.568691562691,4157.208192988708,757.8128602176162,3579.9693412773377,4417.534767653151,0.0011289138781990404,0.00131576362783605,0.000651042303297266,0.0010457728721688,0.0014686149699176,188708.0,188708.0,0.0,188708.0,188708.0,1509664.0,1509664.0,0.0,1509664.0,1509664.0,0.9716671417983889,0.939834520999284,0.13759173929647145,0.8862405830004718,1.0541672090039356,44.0,44.0,0.0,44.0,44.0,False,False,False
original_basis_optimized_recovery,well_joint,22,10,0.46841244282050665,0.4704693031704916,0.05644199118996472,0.4471210964602957,0.5064872710320439,0.004259706059537499,0.0042486900351919,5.089246817538142e-05,0.0042285528676232,0.0042842783355051,0.3226677497689916,0.3450196495682941,0.06170359230368478,0.2590485511611078,0.3665516200821525,0.0019067731377136999,0.0019045807272410498,3.071137030611954e-05,0.0018970645072526,0.0019229187405241,2.899169412130649,3.014966224505257,0.5304737533017386,2.7053783772170816,3.3356431864225766,1468.493830485589,1401.3763675523671,275.27915431647375,1338.1907016816567,1447.058568854869,0.00017672026842495322,0.00018308317666554998,0.00013486168040094024,0.0001499598947702,0.0001938703007224,101860.0,101860.0,0.0,101860.0,101860.0,814880.0,814880.0,0.0,814880.0,814880.0,10.209926687399275,10.074531104499329,0.8754358776760668,9.508314083002915,10.710296749995903,44.0,44.0,0.0,44.0,44.0,False,False,False
rank_optimized_joint,well_joint,22,10,0.09893430938069617,0.09585910158067285,0.02675147098923737,0.0792879716020014,0.1249369408622537,0.00062961777896136,0.0006332901651598,0.00010866857240107544,0.0005675385382182,0.0006702603040545,0.07667264053237784,0.06808025170660505,0.02612299637919519,0.0606854721675711,0.1024228974197361,0.00025218053838529,0.00025219696467765,3.772110730547535e-05,0.0002347339720756,0.0002647510849067,0.44557661090671125,0.44551486454438965,0.12018721936124753,0.3891256960869442,0.4885975875694287,41134.37479053317,32927.34034653073,27177.57040108628,19447.877193389508,63588.09508190041,0.0014945553270710073,0.00185620927444875,0.0007873835508767775,0.0018486015037353,0.0018689714962331,259188.0,259188.0,0.0,259188.0,259188.0,2073504.0,2073504.0,0.0,2073504.0,2073504.0,1.1137917291998747,1.0975723335031944,0.17525642300395397,0.9818984160010586,1.2366713330047787,44.0,44.0,0.0,44.0,44.0,True,False,False
POD,well_joint,23,10,0.30957577643444056,0.2828467546528302,0.15971521689368218,0.2007085321477921,0.359592914445287,0.00095948658141901,0.0008797082801103499,0.00042236380257380194,0.0007884120948542,0.0012388540211404,0.19852097801603025,0.183892603636282,0.1051475149130974,0.1239989989315032,0.2429116165488088,0.00025847688053336996,0.00024039242619360002,9.620334034052603e-05,0.00021627893298,0.0003064757163505,0.7574399425554887,0.8058600550651734,0.335979399245584,0.5814951969230306,0.8720762505965446,180.47598230849482,78.39345910179074,183.6823652359493,58.93602753663559,395.2156619327125,1.0974315764063872e-06,7.855601701097689e-07,5.951242223128869e-07,7.133458257841885e-07,1.3934811721625911e-06,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.292954733499937,1.29505272949973,0.10029715001858687,1.2014440409984672,1.352346416999353,46.0,46.0,0.0,46.0,46.0,False,False,False
POD-E,well_joint,23,10,0.10211509148634072,0.09231047543238416,0.04127841119569789,0.0829444622795714,0.1267233686601762,0.00060876845300534,0.0005908737140896,0.00012295859822747244,0.0005292090408489,0.0006885650651819,0.07480898881686017,0.06604166320698955,0.03872157971318991,0.0472782394773861,0.0877408239550125,0.00019516961626131,0.00019612048603025,4.1408363330368064e-05,0.0001630250291592,0.0002111429459436,0.43520288471946705,0.42347824043239024,0.13405463705792459,0.3436683246209581,0.5000866670464963,48274.69468248361,21618.866425094988,50608.76755577101,18299.94671185115,41300.80298264676,0.0005628993721970621,1.058740621429161e-06,0.0009051007808342159,7.265037660052846e-07,0.0018541152857412,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.25942648339842,1.241910395994637,0.08394504072825856,1.2020911250001518,1.3391447919930215,46.0,46.0,0.0,46.0,46.0,False,False,False
final_accuracy,well_joint,23,10,0.18487012687439183,0.17028464317594239,0.05468795418018394,0.1494464906662263,0.1963419575973385,0.00065401191190738,0.0007001094740949,0.0001161042434738932,0.0005316706079973,0.0007523643456571,0.14218410428612802,0.11217603211992624,0.06191373959304519,0.1086212555776946,0.1635182378739046,0.00019524685978167,0.00020815661918515002,3.2557807682224453e-05,0.0001617254098004,0.0002225253887051,0.5059208330280344,0.4896509436654134,0.14477503030195168,0.3933996318057459,0.6289879291723519,11186539.161481744,8968482.882721502,10997582.603451861,183099.4885519632,16729060.954269571,0.0013974838654076556,0.0018532844586385,0.0007931321678069392,0.0009180999398616,0.0018615140977356,149728.0,149728.0,0.0,149728.0,149728.0,1197824.0,1197824.0,0.0,1197824.0,1197824.0,0.6617432206992817,0.623701541499031,0.1423143578430971,0.5486494580036378,0.6849100419931347,46.0,46.0,0.0,46.0,46.0,False,False,False
final_pareto,well_joint,23,10,0.18316168253400714,0.1658506420552967,0.036743998352955935,0.1571293539864001,0.2079655139656495,0.0006788444331739701,0.0006679480272656,0.0001512999971938539,0.0005532131688612,0.0007591225521653,0.148291131107536,0.1446188881081165,0.03416479354669516,0.1211851177734073,0.174692392634731,0.00020224624855404998,0.00020674394534595,4.3146289381148774e-05,0.000163247199287,0.0002254963223967,0.5124048719067639,0.5332531080090878,0.1169027001680157,0.4111426678728366,0.6051276950651032,13199353.362650704,10836253.266687682,11016090.799920723,6052017.779260851,24732277.51315722,0.0013905274759539103,0.00184873418046675,0.0008096064553550394,0.0007794357744777,0.0018596901653857,120704.0,120704.0,0.0,120704.0,120704.0,965632.0,965632.0,0.0,965632.0,965632.0,0.5578846539989172,0.5259898334988975,0.12132465539589683,0.5040131669957191,0.586913375002041,46.0,46.0,0.0,46.0,46.0,False,False,False
