fold,sensing,placement,N,basis,estimator,sigma_p,sigma_so,draw,rmse_p,rmse_so
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,8,0.7379751625842298,0.009309459657411805
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,8,0.4683334391163687,0.004958610612709383
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,8,1.7294848395358722,0.020968642979463627
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,9,0.720328658595535,0.010123167082702972
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,9,0.5159544855298173,0.004733656672650853
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,9,1.8179230172594747,0.021251209300321594
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,0,0.9579778939114649,0.0243193847225952
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,0,1.0060910788104926,0.011301471941910505
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,0,2.026233857264156,0.023181838669410263
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,1,0.9882287194892415,0.023191562049746373
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,1,0.9713992130518326,0.011437474176323867
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,1,1.8894792899371051,0.022630645145350892
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,2,0.9785263787701218,0.024153124566675156
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,2,1.024708310188086,0.011349331923703397
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,2,1.9542888243055105,0.021617426749692966
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,3,0.9911637856703198,0.024003748598710666
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,3,0.9332920935755303,0.010899330483184668
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,3,1.9618979329362998,0.022021339049814934
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,4,0.9678044154992846,0.023341021305932942
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,4,1.0709101308678992,0.010906228991530532
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,4,2.0436026653647295,0.02212055959302463
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,5,0.9920180349243902,0.023972716514270815
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,5,1.0331850075629434,0.01181252344665707
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,5,2.0001082988507255,0.022827138861175066
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,6,0.9994844719310207,0.025251692937466142
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,6,1.0338466664914738,0.011797798989980537
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,6,2.0398062920129565,0.021727422284789473
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,7,0.9595238543121453,0.02753818582556867
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,7,1.0686187896556438,0.011920692383107693
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,7,2.076347616854285,0.023201155490535752
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,8,0.9648035155318914,0.024757543574719678
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,8,1.0000283801683625,0.011837160367359975
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,8,1.9877827875055496,0.02223118039334719
P2-run1,grid,QR-POD,30,none,IDW,2.0,0.05,9,0.960082482045245,0.024665549581701293
P2-run1,grid,QR-POD,30,POD,LS,2.0,0.05,9,1.0549970830211475,0.010846737188849846
P2-run1,grid,QR-POD,30,POD,L1,2.0,0.05,9,2.035137744513695,0.022745708265706828
P2-run1,wells-joint,DG-POD,10,none,IDW,0.0,0.0,0,0.7335164684528827,0.0009703053581985953
P2-run1,wells-joint,DG-POD,10,POD,LS,0.0,0.0,0,0.45476402056384085,0.0008496015444309666
