sensors,subject,slice_idx,error_mean,error_std,ssim_mean,ssim_std,psnr_mean,psnr_std,error_ci_lower,error_ci_upper,ssim_ci_lower,ssim_ci_upper,psnr_ci_lower,psnr_ci_upper,num_samples
17,case3,10,0.037944015115499496,0.018459143117070198,0.9989545879157536,0.0009970579213893441,38.818424224853516,5.224850177764893,0.027035358635976333,0.048852671595022656,0.9983653643377336,0.9995438114937737,35.730735084315604,41.90611336539143,11
18,case3,10,0.027316851541399956,0.01297866739332676,0.999559323053906,0.00046125657765661926,41.406795501708984,4.878622055053711,0.01964694924648448,0.034986753836315436,0.9992867378356939,0.9998319082721182,38.52371410651727,44.2898768969007,11
19,case3,10,0.04247842729091644,0.02659134939312935,0.9990845953913164,0.0007894739289856147,38.47877502441406,6.428427219390869,0.02676394401198377,0.05819291056984911,0.9986180461134748,0.9995511446691581,34.679817304913946,42.27773274391418,11
20,case3,10,0.052616965025663376,0.02520185150206089,0.9976965197763157,0.002081638845264286,36.297401428222656,6.062621593475342,0.03772362252648177,0.06751030752484498,0.9964663498310803,0.9989266897215511,32.71462101912539,39.880181837319924,11
21,case3,10,0.03046724759042263,0.018259258940815926,0.9994997136133399,0.0005687602627476205,40.78096008300781,5.05805778503418,0.019676715110514265,0.041257780070331,0.9991635977770755,0.9998358294496043,37.79183894772116,43.770081218294465,11
22,case3,10,0.042939819395542145,0.02411085180938244,0.9990058739093848,0.0008472022911291979,38.05546569824219,5.9315948486328125,0.02869121651353642,0.05718842227754787,0.9985052093496064,0.9995065384691632,34.55011714717063,41.560814249313744,11
23,case3,10,0.04769532382488251,0.027137329801917076,0.9982409208231221,0.0015522197623835919,37.33193588256836,6.146871089935303,0.03165818674310309,0.06373246090666193,0.9973236175625546,0.9991582240836896,33.69936720271411,40.96450456242261,11
24,case3,10,0.03162652626633644,0.015355374664068222,0.9992993703814474,0.0008510912134075837,40.1961555480957,5.0234503746032715,0.022552079729877713,0.040700972802795166,0.9987964076154663,0.9998023331474286,37.22748608543775,43.16482501075366,11
25,case3,10,0.03508729487657547,0.01605054922401905,0.9993083964495452,0.0006147736042617564,39.39909744262695,5.338090419769287,0.02560202642819416,0.04457256332495678,0.9989450884661227,0.9996717044329676,36.244487595540015,42.55370728971389,11
26,case3,10,0.038176313042640686,0.018568135797977448,0.9986967007240501,0.0012878883085710453,38.92401123046875,5.835631370544434,0.027203246004769338,0.049149380080512034,0.997935607370307,0.9994577940777933,35.47537347092241,42.37264899001509,11
27,case3,10,0.032340679317712784,0.014723789878189564,0.9992911832132272,0.0007410480810716977,40.06180953979492,5.318305015563965,0.023639475538144116,0.04104188309728145,0.9988532517827187,0.9997291146437357,36.91889211940491,43.204726960184935,11
