basis,budget,fold,n_sel,jaccard_mean,jaccard_min,share_pressure,tstd_percentile_mean,dist_to_well_mean,dist_to_well_active_mean
POD-E,N=r,P2-run10,16,0.8229560830180025,0.6842105263157895,0.8125,0.8421338383838384,2.903993617819804,11.649325225008441
POD-E,N=50,P2-run1,50,0.870476900102852,0.7543859649122807,0.76,0.8399232323232322,3.7411953449464725,11.649325225008441
POD-E,N=50,P2-run2,50,0.870476900102852,0.7543859649122807,0.76,0.8359070707070707,3.7561566269023787,11.649325225008441
POD-E,N=50,P2-run3,50,0.870476900102852,0.7543859649122807,0.74,0.8229212121212122,3.7761566269023787,11.649325225008441
POD-E,N=50,P2-run4,50,0.870476900102852,0.7543859649122807,0.74,0.8416969696969697,3.8161566269023783,11.649325225008441
POD-E,N=50,P2-run5,50,0.870476900102852,0.7543859649122807,0.72,0.8422464646464647,3.7929110736990106,11.649325225008441
POD-E,N=50,P2-run6,50,0.870476900102852,0.7543859649122807,0.74,0.8415959595959596,3.7723298726405607,11.649325225008441
POD-E,N=50,P2-run7,50,0.870476900102852,0.7543859649122807,0.76,0.8346343434343434,4.3619351482276105,11.649325225008441
POD-E,N=50,P2-run8,50,0.870476900102852,0.7543859649122807,0.76,0.8190747474747475,3.7529110736990106,11.649325225008441
POD-E,N=50,P2-run9,50,0.870476900102852,0.7543859649122807,0.74,0.8300646464646464,3.7808779864523747,11.649325225008441
POD-E,N=50,P2-run10,50,0.870476900102852,0.7543859649122807,0.76,0.8347959595959596,3.847927244592753,11.649325225008441
TBMD,N=r,P2-run1,16,0.6655970460825311,0.391304347826087,0.75,0.8295833333333333,3.6877205642575768,11.649325225008441
TBMD,N=r,P2-run2,16,0.6655970460825311,0.391304347826087,0.8125,0.8227020202020202,3.5261089119058946,11.649325225008441
TBMD,N=r,P2-run3,16,0.6655970460825311,0.391304347826087,0.8125,0.8236111111111111,3.13594386896094,11.649325225008441
TBMD,N=r,P2-run4,16,0.6655970460825311,0.391304347826087,0.8125,0.831489898989899,3.6612512656664187,11.649325225008441
TBMD,N=r,P2-run5,16,0.6655970460825311,0.391304347826087,0.8125,0.8277651515151515,3.26094386896094,11.649325225008441
TBMD,N=r,P2-run6,16,0.6655970460825311,0.391304347826087,0.8125,0.8236111111111111,3.088608911905895,11.649325225008441
TBMD,N=r,P2-run7,16,0.6655970460825311,0.391304347826087,0.8125,0.8248358585858586,3.1359438689609394,11.649325225008441
TBMD,N=r,P2-run8,16,0.6655970460825311,0.391304347826087,0.8125,0.8219823232323232,3.151108911905895,11.649325225008441
TBMD,N=r,P2-run9,16,0.6655970460825311,0.391304347826087,0.8125,0.8278914141414142,3.1436379705620436,11.649325225008441
TBMD,N=r,P2-run10,16,0.6655970460825311,0.391304347826087,0.75,0.8322727272727273,3.19844386896094,11.649325225008441
TBMD,N=50,P2-run1,50,0.7225364266810623,0.6129032258064516,0.78,0.8427676767676766,4.010629949973253,11.649325225008441
TBMD,N=50,P2-run2,50,0.7225364266810623,0.6129032258064516,0.8,0.8378464646464646,4.031725076920371,11.649325225008441
TBMD,N=50,P2-run3,50,0.7225364266810623,0.6129032258064516,0.8,0.8407030303030303,4.01061468776218,11.649325225008441
TBMD,N=50,P2-run4,50,0.7225364266810623,0.6129032258064516,0.78,0.8499111111111111,3.942543841540302,11.649325225008441
TBMD,N=50,P2-run5,50,0.7225364266810623,0.6129032258064516,0.76,0.8403757575757576,3.818383528637449,11.649325225008441
TBMD,N=50,P2-run6,50,0.7225364266810623,0.6129032258064516,0.78,0.8415555555555556,3.847063096641652,11.649325225008441
TBMD,N=50,P2-run7,50,0.7225364266810623,0.6129032258064516,0.82,0.8307151515151516,4.421768376172497,11.649325225008441
TBMD,N=50,P2-run8,50,0.7225364266810623,0.6129032258064516,0.8,0.8390989898989899,4.03074614195457,11.649325225008441
TBMD,N=50,P2-run9,50,0.7225364266810623,0.6129032258064516,0.82,0.840238383838384,3.9120732415861226,11.649325225008441
TBMD,N=50,P2-run10,50,0.7225364266810623,0.6129032258064516,0.76,0.845050505050505,4.041738035241049,11.649325225008441
