protocol,fold,basis,r,R1,rmse_p,rmse_so,relerr,r_energy,seconds,storage_floats,train_rel_error,R2
P1,P1-run6,TBMD,16,48,0.26438424783999187,0.0043863768656870455,0.013131512823043414,7,0.8764367080002557,84404.0,0.013751983650912143,
P1,P1-run6,POD,20,0,0.0018828738040244481,5.434960169102571e-05,0.0001280414863784378,7,0.05177216700394638,198000.0,,
P1,P1-run6,TBMD,20,48,0.2643788943918067,0.004386219697846048,0.013131158128823452,7,0.8999731660005637,103260.0,0.013751958008667464,
P1,P1-run6,POD,30,0,0.0010842502136437792,2.1871491127855704e-05,5.931071767708226e-05,7,0.04980862501543015,297000.0,,
P1,P1-run6,TBMD,30,48,0.2643728782214153,0.004386003391461314,0.013130707910560403,7,0.9619846249988768,150400.0,0.013751955705225397,
P1,P1-run6,POD,50,0,0.0008401195225807052,1.8700560787553605e-05,4.848512493542471e-05,7,0.04797908299951814,495000.0,,
P1,P1-run6,TBMD,50,48,0.26436882728025435,0.004385986323753727,0.013130570866353674,7,1.091439084004378,244680.0,0.013751955652807171,
P1,P1-run6,TBMD-R1sweep,7,12,1.9666794010467858,0.019048368396644495,0.08277260213556564,7,0.8956677080132067,5006.0,0.10730158515217784,12.0
P1,P1-run6,TBMD-R1sweep,7,24,1.1287808607276646,0.012774470918125691,0.049237498051911216,7,3.939652417000616,13298.0,0.062279858672131226,24.0
P1,P1-run6,TBMD-R1sweep,7,48,0.26444883798794666,0.004423429417227125,0.013181173594961283,7,0.7876252499991097,41978.0,0.013782459783778171,48.0
P1,P1-run6,TBMD-R1sweep,7,96,0.00748939728135689,0.0006223115476707223,0.0012518044058398446,7,1.1806137920066249,80906.0,0.001018794506831762,48.0
P1,P1-run6,TBMD-R1sweep,7,139,0.007119000052474078,0.0006054682855168929,0.001216526424275956,7,1.5676575000106823,115779.0,0.0009877169290592098,48.0
P1,P1-run7,prior,0,0,0.1822171110863691,0.001344343922851019,0.007187203304121388,8,,,,
P1,P1-run7,POD,2,0,0.13270919454187038,0.005584573440493313,0.012096848867600454,8,0.040869582997402176,19800.0,,
P1,P1-run7,TBMD,2,48,0.29869012848931575,0.00689095540532871,0.017486686661837073,8,1.2249937909946311,18408.0,0.024509092198194055,
P1,P1-run7,POD,5,0,0.07038029673934833,0.001152690382601299,0.0034431115781894672,8,0.04595749999862164,49500.0,,
P1,P1-run7,TBMD,5,48,0.27881550531416477,0.004409298730336671,0.01342096671347844,8,0.7742895830015186,32550.0,0.013557497509752181,
P1,P1-run7,POD,8,0,0.01609580150600687,0.0006510288359588703,0.001419626806791228,8,0.07065420900471509,79200.0,,
P1,P1-run7,TBMD,8,48,0.27179750383160634,0.00433797954319574,0.013134182773309896,8,0.8835750839789398,46692.0,0.013338523928134336,
P1,P1-run7,POD,10,0,0.013050725420937777,0.00041638615872677015,0.0009537521423971541,8,0.065216082992265,99000.0,,
P1,P1-run7,TBMD,10,48,0.2717406274659145,0.004309961296751596,0.013096184575712263,8,0.7420525829948019,56120.0,0.013323560198846245,
P1,P1-run7,POD,16,0,0.0033471674708208704,0.00011943108263405997,0.00026685774862528477,8,0.049159166024765,158400.0,,
P1,P1-run7,TBMD,16,48,0.2714553724882897,0.0042935304621680645,0.01306696990786769,8,0.7387406250054482,84404.0,0.01331846621201275,
P1,P1-run7,POD,20,0,0.0024537263967677786,5.6873989904428036e-05,0.00014442669314619156,8,0.05495429100119509,198000.0,,
P1,P1-run7,TBMD,20,48,0.27144553970401697,0.004292706466777353,0.013065627531632483,8,0.7629072080017067,103260.0,0.01331842078042406,
P1,P1-run7,POD,30,0,0.001139532153462829,2.8264317427650292e-05,7.011192573611181e-05,8,0.055156624992378056,297000.0,,
P1,P1-run7,TBMD,30,48,0.2714343615467467,0.004292492090999612,0.013065038860465304,8,0.8407784999872092,150400.0,0.013318416980896825,
P1,P1-run7,POD,50,0,0.0009432488471266777,2.1989739302678246e-05,5.5857997230060984e-05,8,0.061699625017354265,495000.0,,
P1,P1-run7,TBMD,50,48,0.27142898997452547,0.004292476316364167,0.013064869225803973,8,0.9437880000041332,244680.0,0.013318416900523091,
P1,P1-run7,TBMD-R1sweep,8,12,2.0314757358502833,0.0191800601275581,0.0834093912180631,8,0.7523292909900192,5400.0,0.10767148373177694,12.0
P1,P1-run7,TBMD-R1sweep,8,24,1.1660377670613766,0.012436723389186324,0.04922730168977773,8,4.071399958018446,14556.0,0.06205205727120676,24.0
P1,P1-run7,TBMD-R1sweep,8,48,0.27179750383160634,0.00433797954319574,0.013134182773309896,8,0.6229366659827065,46692.0,0.013338523928134336,48.0
P1,P1-run7,TBMD-R1sweep,8,96,0.016258758116694586,0.0006619717087983875,0.0014417151011960766,8,1.0322017500002403,90228.0,0.0008178470100448797,48.0
P1,P1-run7,TBMD-R1sweep,8,139,0.016095801506008606,0.0006510288359588396,0.0014196268067912003,8,1.065722208993975,129229.0,0.0007885448528700736,48.0
P1,P1-run8,prior,0,0,0.20816612813349897,0.0014871227087100544,0.00716466451476293,7,,,,
P1,P1-run8,POD,2,0,0.25381382040119405,0.006437200376016108,0.015048372179159117,7,0.0726642080117017,19800.0,,
P1,P1-run8,TBMD,2,48,0.4234464554356581,0.007746026410796724,0.020288823916759166,7,0.9312234579992946,18408.0,0.033485720903175864,
P1,P1-run8,POD,5,0,0.09425307771134588,0.0014461607965289623,0.004116262578473349,7,0.03801495902007446,49500.0,,
P1,P1-run8,TBMD,5,48,0.34941397033340094,0.004712910596626738,0.014381114678870212,7,0.7311369579983875,32550.0,0.014420848430436171,
P1,P1-run8,POD,7,0,0.01676107312260998,0.0007788648789220665,0.0016319009667208856,7,0.1230799580225721,69300.0,,
P1,P1-run8,TBMD,7,48,0.3388031180448088,0.004602406252008306,0.013986183352057693,7,0.728406417008955,41978.0,0.014183552053011597,
P1,P1-run8,POD,10,0,0.02001519271369289,0.00036748643820414114,0.0009619390370437452,7,0.046491250017425045,99000.0,,
P1,P1-run8,TBMD,10,48,0.33908084326366916,0.004553940415041923,0.013930002151713871,7,0.7753286250226665,56120.0,0.014159911188909934,
P1,P1-run8,POD,16,0,0.004897033199799049,0.00011155657896300203,0.00026962543331181114,7,0.0536151249834802,158400.0,,
P1,P1-run8,TBMD,16,48,0.33850835049502637,0.0045412882912296716,0.013900030349274686,7,0.7147610419779085,84404.0,0.014155632005057402,
P1,P1-run8,POD,20,0,0.0028298929354341807,5.9507354537324186e-05,0.00014789995364133393,7,0.04488116598804481,198000.0,,
P1,P1-run8,TBMD,20,48,0.3384808442925251,0.004540573887920056,0.013898451330159208,7,0.8241377499944065,103260.0,0.01415560590049118,
P1,P1-run8,POD,30,0,0.0018395309027067583,3.2486680506136075e-05,8.679955067376095e-05,7,0.05495058401720598,297000.0,,
P1,P1-run8,TBMD,30,48,0.3384680418084172,0.004540316385938749,0.01389781304792187,7,0.86251891599386,150400.0,0.014155603745228952,
P1,P1-run8,POD,50,0,0.0013062080793825551,2.6485550204139375e-05,6.683232668831679e-05,7,0.0571031250001397,495000.0,,
P1,P1-run8,TBMD,50,48,0.33846336455100784,0.004540291578444259,0.013897669380320575,7,0.9444081250112504,244680.0,0.014155603689916418,
P1,P1-run8,TBMD-R1sweep,7,12,2.385976609030845,0.01926530062410268,0.08386520285064288,7,0.669728834007401,5006.0,0.10786768375024289,12.0
