sensing,placement,N,basis,estimator,sigma_p,rmse_p_mean,rmse_p_std,rmse_so_mean,rmse_so_std
grid,QR-TBMD,30,none,IDW,0.5,0.5123733808387789,0.19438415606504295,0.005040281667189616,0.0004907523178882653
grid,QR-TBMD,30,none,IDW,1.0,0.6360759177277456,0.16034947849476705,0.009351578105103252,0.0004968126792889039
grid,QR-TBMD,30,none,IDW,2.0,0.9655346051998904,0.11121414291183959,0.02296199990514284,0.000905899189757924
none,ensemble-mean,0,none,prior,0.0,1.1481464013873708,0.5580050971444969,0.0008386444083656301,0.00021333180817639848
wells-joint,DG-POD,10,POD,L1,0.0,10.687192601286768,2.9198849580011035,0.02264117478709977,0.002212573081147198
wells-joint,DG-POD,10,POD,L1,0.1,10.690743271262667,2.9198151139326205,0.02264457615010347,0.002212736098549622
wells-joint,DG-POD,10,POD,L1,0.5,10.711520297115536,2.921946099418055,0.02265888777261081,0.0021848137654818553
wells-joint,DG-POD,10,POD,L1,1.0,10.766863590792706,2.9250331962300873,0.02274943132396494,0.002174871456895895
wells-joint,DG-POD,10,POD,L1,2.0,11.087563189812808,2.9026518369292593,0.02338161874903881,0.001617866555411686
wells-joint,DG-POD,10,POD,LS,0.0,0.7007611633235749,0.30224689031786944,0.0008610929966749202,0.0003178882725960176
wells-joint,DG-POD,10,POD,LS,0.1,1.4415301121767927,0.40399073028837107,0.0017802903490939993,0.00024787684936879265
wells-joint,DG-POD,10,POD,LS,0.5,2.6755191637098896,0.7131337499974174,0.0032032908077642918,0.00032153067967575296
wells-joint,DG-POD,10,POD,LS,1.0,5.2467737098934215,1.4218060738138356,0.006184707113517732,0.0005788915213010273
wells-joint,DG-POD,10,POD,LS,2.0,12.82445383717519,3.4634391606868307,0.015324711300276395,0.0013931017863448463
wells-joint,DG-POD,10,none,IDW,0.0,0.5835484115677619,0.2602426701239725,0.0016418624707385799,0.0005507164613689129
wells-joint,DG-POD,10,none,IDW,0.1,0.5860160554809553,0.25906127205740254,0.002878977220079447,0.0003651572652080988
wells-joint,DG-POD,10,none,IDW,0.5,0.6317852472174449,0.23358299547086436,0.004889966402694746,0.0002393221373702215
wells-joint,DG-POD,10,none,IDW,1.0,0.7528358648205391,0.18996069702277832,0.009259900881785976,0.00021967264650512815
wells-joint,DG-POD,10,none,IDW,2.0,1.0992047404799554,0.1404414899494142,0.022719054225398556,0.00048496643856402866
wells-joint,DG-POD,30,POD,L1,0.0,1.035868378557473,0.23733975339648006,0.006357651941324741,0.0014647026808054149
wells-joint,DG-POD,30,POD,L1,0.1,1.03684253120681,0.23697895685263612,0.006361505259695819,0.001458562410415543
wells-joint,DG-POD,30,POD,L1,0.5,1.0444079825201817,0.23381823571613905,0.006382673265110807,0.0014459325102576426
