fold,basis,sensing,N,epsilon,admm_iter,rmse_p,rmse_so
P2-run2,TBMD,wells-joint,5,0.001,4630,0.5620660690539262,0.004281181150912788
P2-run2,TBMD,wells-joint,5,0.01,140,0.5135264094680008,0.004615753364933907
P2-run2,TBMD,wells-joint,5,0.1,100,0.9557156681148878,0.005733329696263359
P2-run2,TBMD,wells-joint,5,0.0,0,0.6911495579153307,0.004297491889065965
P2-run2,TBMD,wells-joint,10,0.0001,5000,0.6385420361301508,0.004285807703408072
P2-run2,TBMD,wells-joint,10,0.001,5000,0.5634694154247849,0.004284683292307037
P2-run2,TBMD,wells-joint,10,0.01,600,0.5434833197501747,0.004304850300297779
P2-run2,TBMD,wells-joint,10,0.1,110,0.82535235127999,0.005283625919595719
P2-run2,TBMD,wells-joint,10,0.0,0,1.0251595933696127,0.004343261039744135
P2-run2,TBMD,wells-joint,30,0.0001,690,0.4346284789230044,0.004233130746670841
P2-run2,TBMD,wells-joint,30,0.001,610,0.4236029341538019,0.004209382280132062
P2-run2,TBMD,wells-joint,30,0.01,320,0.42047044168811926,0.004227583680225802
P2-run2,TBMD,wells-joint,30,0.1,260,0.5524146983690355,0.004854061633623508
P2-run2,TBMD,wells-joint,30,0.0,0,0.43640575091282224,0.004238586606813926
P2-run3,POD,grid,10,0.0001,5000,29.894409884490592,0.25649694604152634
P2-run3,POD,grid,10,0.001,5000,30.81133991281061,0.251963224374725
P2-run3,POD,grid,10,0.01,5000,31.988731334528257,0.26300058394169595
P2-run3,POD,grid,10,0.1,1020,30.71647517975588,0.26565364366206085
P2-run3,POD,grid,10,0.0,0,29.798012687746837,0.25708616193849476
P2-run3,POD,grid,30,0.0001,5000,0.4049719865603864,0.0006699927935532267
P2-run3,POD,grid,30,0.001,5000,0.6153000311597627,0.0013591632762418825
P2-run3,POD,grid,30,0.01,5000,1.993210139042004,0.014591479781156286
P2-run3,POD,grid,30,0.1,5000,15.935689097075253,0.13450153349709312
P2-run3,POD,grid,30,0.0,0,0.10086586320490287,0.0005910096932436935
P2-run3,POD,grid,100,0.0001,3660,0.060985925701738185,0.0005070147028932712
P2-run3,POD,grid,100,0.001,3570,0.1667441713099381,0.0006212458833962916
P2-run3,POD,grid,100,0.01,3210,0.8635332145371847,0.0035550957109298964
P2-run3,POD,grid,100,0.1,2430,4.370273130690697,0.03620498416439655
P2-run3,POD,grid,100,0.0,0,0.05602077292234169,0.000511701222780429
P2-run3,POD,wells-joint,5,0.0001,5000,29.997881159358197,0.011976838841712217
P2-run3,POD,wells-joint,5,0.001,5000,29.289775248112733,0.013152058228158988
P2-run3,POD,wells-joint,5,0.01,5000,25.350717202226193,0.05605621542555456
P2-run3,POD,wells-joint,5,0.1,1680,30.420568893716254,0.27309663312507904
P2-run3,POD,wells-joint,5,0.0,0,30.085260441660566,0.012931095008858827
P2-run3,POD,wells-joint,10,0.0001,5000,25.7132007186369,0.011610753056723232
P2-run3,POD,wells-joint,10,0.001,5000,23.68664087506511,0.010648632122117483
P2-run3,POD,wells-joint,10,0.01,5000,11.672762850042572,0.020291373093961406
P2-run3,POD,wells-joint,10,0.1,5000,18.168582091074477,0.14120961107944688
P2-run3,POD,wells-joint,10,0.0,0,0.6074627548280084,0.0005798523194305947
P2-run3,POD,wells-joint,30,0.0001,5000,2.910443590708925,0.002202020714876286
P2-run3,POD,wells-joint,30,0.001,5000,1.9320609097785268,0.0015713589542506907
P2-run3,POD,wells-joint,30,0.01,5000,1.0977890416295828,0.0049957444596240765
P2-run3,POD,wells-joint,30,0.1,3060,6.921692040246412,0.05380735183283763
P2-run3,POD,wells-joint,30,0.0,0,0.07842494750202082,0.0004881303412195833
P2-run3,POD-E,grid,10,0.0001,5000,0.3066723737040461,0.0006392921604359078
P2-run3,POD-E,grid,10,0.001,2150,0.28303470057745533,0.0006650419046629574
P2-run3,POD-E,grid,10,0.01,490,0.28804877657563044,0.0016421939495225599
P2-run3,POD-E,grid,10,0.1,810,0.6061171147274919,0.003397783487167388
P2-run3,POD-E,grid,10,0.0,0,0.19838054691410967,0.0007535900358004448
P2-run3,POD-E,grid,30,0.0001,310,0.09434556146137794,0.0005626753278282826
P2-run3,POD-E,grid,30,0.001,600,0.06819590049073172,0.0005577070370756435
P2-run3,POD-E,grid,30,0.01,160,0.1540744686627399,0.0011320533677080438
P2-run3,POD-E,grid,30,0.1,1730,0.4220243608517311,0.003199119294509693
P2-run3,POD-E,grid,30,0.0,0,0.10041739657442444,0.0005669074316604817
P2-run3,POD-E,grid,100,0.0001,120,0.05580881246097277,0.0005124730404589893
P2-run3,POD-E,grid,100,0.001,120,0.04969289006887252,0.0005057420124533439
P2-run3,POD-E,grid,100,0.01,110,0.08220744899118738,0.000624557311698059
P2-run3,POD-E,grid,100,0.1,4120,0.22772956861237453,0.0018662758928811574
P2-run3,POD-E,grid,100,0.0,0,0.05689707758336935,0.0005139063065709585
P2-run3,POD-E,wells-joint,5,0.0001,5000,0.23015375874422264,0.0005047074691427608
P2-run3,POD-E,wells-joint,5,0.001,2260,0.2579469728176866,0.0006155069511546527
