protocol,fold,test_run,rank,sensing,placement,seed,N,basis,estimator,rmse_p,rmse_so,relerr,maxabs_p,noise_sd_bar,m,cond,sec_per_snapshot,admm_iter
P2,P2-run6,6,16,grid,random,20260934,150,TBMD,L1,0.36641091010654153,0.0067680609999862555,0.016238604868786113,5.031135828428462,0.0,150.0,,9.966384215959649e-05,190.0
P2,P2-run6,6,16,grid,random,20260934,200,none,IDW,0.23805046042328432,0.0006097155946310702,0.006920253418769905,1.8095235906879221,0.0,200.0,,,
P2,P2-run6,6,16,grid,random,20260934,200,POD,LS,0.08253250189979161,0.0009144040841076582,0.002943061499372237,1.3034438644675843,0.0,200.0,2.4490325201078122,7.235278336933457e-06,
P2,P2-run6,6,16,grid,random,20260934,200,POD,L1,0.4882294529956056,0.004114464029544397,0.01637858751249351,2.0072406718797824,0.0,200.0,,0.0008460833308990709,920.0
P2,P2-run6,6,16,grid,random,20260934,200,POD-E,LS,0.0825325018997876,0.0009144040841075875,0.0029430614993720666,1.3034438644675759,0.0,200.0,2170.106561128966,3.7208647656261473e-06,
P2,P2-run6,6,16,grid,random,20260934,200,POD-E,L1,0.15071932707835717,0.0008881598110125525,0.004655643955364934,1.7586154570633468,0.0,200.0,,2.710651882041834e-05,100.0
P2,P2-run6,6,16,grid,random,20260934,200,TBMD,LS,0.36225735304138956,0.005051553015119788,0.013880162520385531,5.189853912833277,0.0,200.0,2682.6739331475087,3.038533775948156e-06,
P2,P2-run6,6,16,grid,random,20260934,200,TBMD,L1,0.36324217394010255,0.004987758231092552,0.013835197651255871,4.98265789542081,0.0,200.0,,9.105357151527546e-05,220.0
P2,P2-run6,6,16,grid,random,20260934,300,none,IDW,0.2287103977939636,0.0006263663033552859,0.00665957133048475,1.7714561257926922,0.0,300.0,,,
P2,P2-run6,6,16,grid,random,20260934,300,POD,LS,0.07285336506029974,0.0008793144247581585,0.0026836462523855123,1.208324331708385,0.0,300.0,2.2468103037327007,3.1364661741203493e-05,
P2,P2-run6,6,16,grid,random,20260934,300,POD,L1,0.3931782611303042,0.003292914918797628,0.013102103194538353,1.6660096923129648,0.0,300.0,,0.0004662753759421184,680.0
P2,P2-run6,6,16,grid,random,20260934,300,POD-E,LS,0.07285336506029655,0.0008793144247580465,0.00268364625238531,1.2083243317083454,0.0,300.0,2137.386851280633,5.775060166807887e-06,
P2,P2-run6,6,16,grid,random,20260934,300,POD-E,L1,0.13150226682134333,0.0008288302768992078,0.004099858179197048,1.3963946836068277,0.0,300.0,,5.538063911595067e-05,120.0
P2,P2-run6,6,16,grid,random,20260934,300,TBMD,LS,0.3413078666660687,0.0044630646574115385,0.012726169628286245,4.942843211967445,0.0,300.0,2880.6380365081686,5.321460141436218e-05,
P2,P2-run6,6,16,grid,random,20260934,300,TBMD,L1,0.35244899191742757,0.0044699206364705694,0.012988484868903256,4.941436595604213,0.0,300.0,,0.0006103496239223006,450.0
P2,P2-run6,6,16,grid,random,20260935,2,none,IDW,0.6718554213602788,0.0008688250755707971,0.019340208353918704,2.7201032321891168,0.0,2.0,,,
P2,P2-run6,6,16,grid,random,20260935,2,POD,LS,23.46563610566817,0.26736504894799845,0.830479948518354,62.481216675836535,0.0,2.0,4.01427864551968,9.395414525713016e-07,
P2,P2-run6,6,16,grid,random,20260935,2,POD,L1,27.208142991589273,0.24579624471032216,0.9003782016556905,61.94049547802244,0.0,2.0,,0.0036562709848981184,5000.0
P2,P2-run6,6,16,grid,random,20260935,2,POD-E,LS,0.87132976210531,0.01543953964264568,0.03802787176784913,4.513871294699955,0.0,2.0,910.784929027292,8.594924829115993e-06,
P2,P2-run6,6,16,grid,random,20260935,2,POD-E,L1,0.9360638536436041,0.015020025715235301,0.03909464719530674,4.129109683040661,0.0,2.0,,7.189849664674218e-06,10.0
P2,P2-run6,6,16,grid,random,20260935,2,TBMD,LS,1.3192102311686336,0.016713744151705963,0.05152153266243244,8.183677493217198,0.0,2.0,664.1475269744536,1.8305112380198295e-06,
P2,P2-run6,6,16,grid,random,20260935,2,TBMD,L1,1.006721644233433,0.016103127385183085,0.04186077775440895,7.3324837587304055,0.0,2.0,,3.3963005989789963e-06,10.0
P2,P2-run6,6,16,grid,random,20260935,5,none,IDW,0.5088018864833131,0.0008688250755707971,0.014646280243010047,2.477090190190927,0.0,5.0,,,
P2,P2-run6,6,16,grid,random,20260935,5,POD,LS,15.217618881919496,0.2738036836470767,0.6630633478530533,92.79340192044769,0.0,5.0,inf,1.065789492576754e-06,
P2,P2-run6,6,16,grid,random,20260935,5,POD,L1,12.464735001748346,0.10611377023763016,0.4103445163632182,14.621821043493835,0.0,5.0,,0.003849328315687275,5000.0
P2,P2-run6,6,16,grid,random,20260935,5,POD-E,LS,0.7808732699657192,0.015272720392407934,0.035707884392014916,4.311398418809211,0.0,5.0,inf,2.9807330653617592e-05,
P2,P2-run6,6,16,grid,random,20260935,5,POD-E,L1,0.8538854911901176,0.016043173125626246,0.0388913809396656,4.233112992786102,0.0,5.0,,3.513972943690711e-05,60.0
P2,P2-run6,6,16,grid,random,20260935,5,TBMD,LS,2.5470793595146772,0.10654937219539247,0.21053946247348293,11.786308751970399,0.0,5.0,9989843555733154.0,8.706165796243831e-07,
P2,P2-run6,6,16,grid,random,20260935,5,TBMD,L1,0.932640996415333,0.01721568942206414,0.0418484464856491,7.206883777230989,0.0,5.0,,3.3380301350629644e-06,10.0
P2,P2-run6,6,16,grid,random,20260935,10,none,IDW,0.5513349533562865,0.0008688250755707971,0.015864259230818457,2.6019451370655697,0.0,10.0,,,
P2,P2-run6,6,16,grid,random,20260935,10,POD,LS,14.709356572786977,0.21696547064131838,0.578312808149006,136.88476730710266,0.0,10.0,inf,1.8038873602741194e-06,
P2,P2-run6,6,16,grid,random,20260935,10,POD,L1,7.788919455599444,0.06511231909642787,0.256427417823163,12.559770880288058,0.0,10.0,,0.004216035090113773,5000.0
P2,P2-run6,6,16,grid,random,20260935,10,POD-E,LS,0.31830049479482464,0.00342648468057623,0.011360995848430172,2.2181026133632398,0.0,10.0,inf,9.826751893274205e-06,
P2,P2-run6,6,16,grid,random,20260935,10,POD-E,L1,0.8821564014636561,0.015494709297188642,0.03864239726172417,4.177254050336437,0.0,10.0,,9.335087974646823e-05,60.0
P2,P2-run6,6,16,grid,random,20260935,10,TBMD,LS,3.4204232930752023,0.13524153612499615,0.26760333349442067,14.606804399889784,0.0,10.0,6.316649406485177e+16,9.570827469565814e-07,
P2,P2-run6,6,16,grid,random,20260935,10,TBMD,L1,0.9591928774724614,0.016587663863818124,0.041531594496614345,7.2751137769845835,0.0,10.0,,1.7380323287281663e-05,70.0
P2,P2-run6,6,16,grid,random,20260935,16,none,IDW,0.4674427346753877,0.0008688250755707971,0.013449774233305853,2.338650641660114,0.0,16.0,,,
P2,P2-run6,6,16,grid,random,20260935,16,POD,LS,6.7917216481184175,0.14569168033685673,0.330365933540713,47.53133194576762,0.0,16.0,inf,9.69608991820001e-07,
P2,P2-run6,6,16,grid,random,20260935,16,POD,L1,4.307228583834223,0.04719182449139668,0.1531543425112173,9.046984089279068,0.0,16.0,,0.0034967875939660837,5000.0
P2,P2-run6,6,16,grid,random,20260935,16,POD-E,LS,0.5625897251185394,0.004682254421226189,0.01859141619618699,3.5167090037402,0.0,16.0,inf,1.153634590642961e-05,
P2,P2-run6,6,16,grid,random,20260935,16,POD-E,L1,0.48350773274177167,0.012011478442367707,0.02852817051339685,3.000537397818585,0.0,16.0,,5.2012218017117085e-05,50.0
P2,P2-run6,6,16,grid,random,20260935,16,TBMD,LS,10.321874296165689,0.15189690307282208,0.40942795311824853,67.60027825188256,0.0,16.0,1.869946529886259e+18,1.450188071081849e-06,
P2,P2-run6,6,16,grid,random,20260935,16,TBMD,L1,0.5860346768093597,0.013448711611426151,0.03240295708874924,5.932450236427948,0.0,16.0,,1.3892233145906401e-05,50.0
P2,P2-run6,6,16,grid,random,20260935,20,none,IDW,0.4101978125262603,0.0008693017187830326,0.01188074577404494,2.257854639506166,0.0,20.0,,,
P2,P2-run6,6,16,grid,random,20260935,20,POD,LS,5.318564500708355,0.024031679181478898,0.15749516385260212,57.09551440652158,0.0,20.0,9.319505709452253e+16,2.860902376206858e-06,
P2,P2-run6,6,16,grid,random,20260935,20,POD,L1,2.611822081009256,0.021157311412668595,0.08798035173457996,5.318213068058663,0.0,20.0,,0.00317964755625401,5000.0
P2,P2-run6,6,16,grid,random,20260935,20,POD-E,LS,0.7376817409875954,0.00396278562316319,0.023917540994349448,6.194806660177517,0.0,20.0,1.2279013586117847e+19,3.3110902728722955e-06,
P2,P2-run6,6,16,grid,random,20260935,20,POD-E,L1,0.31710551197874226,0.003333458874926679,0.011269438729171372,2.5128438142735576,0.0,20.0,,5.682487228073012e-05,200.0
P2,P2-run6,6,16,grid,random,20260935,20,TBMD,LS,7.272153823310387,0.07770037085805931,0.25163133437913104,52.92644092264137,0.0,20.0,286127.9365338155,2.1810751912513173e-06,
P2,P2-run6,6,16,grid,random,20260935,20,TBMD,L1,0.4328208306266287,0.007204589642687092,0.018179287346756334,5.202789135430719,0.0,20.0,,8.137249632885581e-05,40.0
P2,P2-run6,6,16,grid,random,20260935,30,none,IDW,0.4182572191602005,0.0011073218965844533,0.012173156096567295,2.167471052860321,0.0,30.0,,,
P2,P2-run6,6,16,grid,random,20260935,30,POD,LS,0.6689997571217312,0.0039255602117481735,0.020942481352440225,6.660455266960202,0.0,30.0,952.2068647656439,1.189849493478922e-06,
P2,P2-run6,6,16,grid,random,20260935,30,POD,L1,1.83198381318501,0.014854310667324934,0.06327544785290681,4.686735872094215,0.0,30.0,,0.004084166353375868,5000.0
P2,P2-run6,6,16,grid,random,20260935,30,POD-E,LS,0.668999757121816,0.003925560211748439,0.020942481352442796,6.660455266961239,0.0,30.0,182691.7565068021,2.236435337769414e-05,
P2,P2-run6,6,16,grid,random,20260935,30,POD-E,L1,0.3018690107904221,0.0023228860906941208,0.009789177877099424,2.48564707508814,0.0,30.0,,0.00035929009782262425,240.0
P2,P2-run6,6,16,grid,random,20260935,30,TBMD,LS,6.256110967298661,0.009363873878113245,0.1801129121017892,35.899864782711184,0.0,30.0,59461.20007787106,1.2487442673821198e-06,
P2,P2-run6,6,16,grid,random,20260935,30,TBMD,L1,0.4342125135382297,0.005007400721094798,0.015548240516772265,5.168629977441848,0.0,30.0,,0.00012616447371752808,250.0
P2,P2-run6,6,16,grid,random,20260935,50,none,IDW,0.30781183996764877,0.0008021440503670226,0.008971777888485343,2.0716080588018517,0.0,50.0,,,
P2,P2-run6,6,16,grid,random,20260935,50,POD,LS,0.5256972764389516,0.001650020925775646,0.015589773398575488,6.758060914163445,0.0,50.0,131.41747076269823,2.865601441283759e-06,
P2,P2-run6,6,16,grid,random,20260935,50,POD,L1,1.3325738201274517,0.010844626166036953,0.04839358939874234,3.410305059568819,0.0,50.0,,0.005808045736844896,5000.0
P2,P2-run6,6,16,grid,random,20260935,50,POD-E,LS,0.5256972764389568,0.0016500209257757695,0.015589773398575668,6.7580609141635115,0.0,50.0,45753.64554212508,4.274530084173482e-05,
P2,P2-run6,6,16,grid,random,20260935,50,POD-E,L1,0.25748093463971744,0.002162615585797371,0.008514903046016143,2.393390196296811,0.0,50.0,,7.215757916429381e-05,160.0
P2,P2-run6,6,16,grid,random,20260935,50,TBMD,LS,0.7517114674849488,0.007203723630807359,0.02543087283568012,7.370811961127425,0.0,50.0,24693.664840186255,1.3273760336766342e-06,
P2,P2-run6,6,16,grid,random,20260935,50,TBMD,L1,0.4122139718377925,0.0056778317307081445,0.015882107839337366,5.064432127253108,0.0,50.0,,0.0003684846466823824,370.0
P2,P2-run6,6,16,grid,random,20260935,75,none,IDW,0.30441985381975617,0.000750264765685673,0.008848771579675566,1.9834691079780151,0.0,75.0,,,
P2,P2-run6,6,16,grid,random,20260935,75,POD,LS,0.33941954404356867,0.0010071178109624073,0.010033860270996703,5.109024588343044,0.0,75.0,36.40877492505245,1.4530074225976727e-06,
P2,P2-run6,6,16,grid,random,20260935,75,POD,L1,1.0288639099917922,0.006390100695106334,0.034834971104781745,2.7783354408148413,0.0,75.0,,0.003984262533941047,4760.0
