protocol,fold,model,estimator,wells,channels,joint_rank,rank_pressure,rank_so,coefficients,rmse_p,rmse_so,admm_iterations
P2,P2-run1,independent-per-property,L1,30,60,16,16,16,32,0.24431889971361845,0.0009475274304465083,170
P2,P2-run2,joint-4D,LS,10,20,16,16,16,16,2.2470293757047144,0.012055458549278102,0
P2,P2-run2,joint-4D,L1,10,20,16,16,16,16,0.47112768447737685,0.0046549550347935,210
P2,P2-run2,independent-equal-total,LS,10,20,16,8,8,16,2.022874819140411,0.0025490503079707884,0
P2,P2-run2,independent-equal-total,L1,10,20,16,8,8,16,0.34475959188432964,0.0018148466655534057,200
P2,P2-run2,independent-per-property,LS,10,20,16,16,16,32,0.5248526549560985,0.001973895617707769,0
P2,P2-run2,independent-per-property,L1,10,20,16,16,16,32,0.3450452976239952,0.001813040903040553,200
P2,P2-run2,joint-4D,LS,30,60,16,16,16,16,0.4364057509128216,0.004238586606813924,0
P2,P2-run2,joint-4D,L1,30,60,16,16,16,16,0.42047044168812125,0.004227583680225802,320
P2,P2-run2,independent-equal-total,LS,30,60,16,8,8,16,0.2760546727070676,0.0007660423787212508,0
P2,P2-run2,independent-equal-total,L1,30,60,16,8,8,16,0.23128443348581068,0.0010151028172430074,490
P2,P2-run2,independent-per-property,LS,30,60,16,16,16,32,0.28938278424596414,0.0013910974944732505,0
P2,P2-run2,independent-per-property,L1,30,60,16,16,16,32,0.22840506869022592,0.0010154247416521054,360
P2,P2-run3,joint-4D,LS,10,20,16,16,16,16,5.569358333218773,0.01675466705473373,0
P2,P2-run3,joint-4D,L1,10,20,16,16,16,16,0.43334027503745093,0.004580654771360331,450
P2,P2-run3,independent-equal-total,LS,10,20,16,8,8,16,2.734014227399844,0.004591322536879381,0
P2,P2-run3,independent-equal-total,L1,10,20,16,8,8,16,0.2982861224243155,0.0016801087500890818,250
P2,P2-run3,independent-per-property,LS,10,20,16,16,16,32,0.8433063910474033,0.0012632726693084595,0
P2,P2-run3,independent-per-property,L1,10,20,16,16,16,32,0.2984377753896799,0.0016789910263524767,250
P2,P2-run3,joint-4D,LS,30,60,16,16,16,16,0.42071580143300236,0.004202478569135357,0
P2,P2-run3,joint-4D,L1,30,60,16,16,16,16,0.3981809881833461,0.004211521859567715,1570
P2,P2-run3,independent-equal-total,LS,30,60,16,8,8,16,0.20230354293380956,0.0005578769661872244,0
P2,P2-run3,independent-equal-total,L1,30,60,16,8,8,16,0.23269111883462348,0.0008517848477491674,60
P2,P2-run3,independent-per-property,LS,30,60,16,16,16,32,0.25937681404948737,0.0024275257450587827,0
P2,P2-run3,independent-per-property,L1,30,60,16,16,16,32,0.23369872100480846,0.0008525424424603794,320
P2,P2-run4,joint-4D,LS,10,20,16,16,16,16,2.868181958728718,0.011352589944463037,0
P2,P2-run4,joint-4D,L1,10,20,16,16,16,16,0.4497088230346676,0.00465181717590993,220
P2,P2-run4,independent-equal-total,LS,10,20,16,8,8,16,6.321880052776805,0.009569689624360452,0
P2,P2-run4,independent-equal-total,L1,10,20,16,8,8,16,0.3388959404500972,0.00184306567198185,30
P2,P2-run4,independent-per-property,LS,10,20,16,16,16,32,0.8035942049616754,0.001339787118499615,0
P2,P2-run4,independent-per-property,L1,10,20,16,16,16,32,0.33926985368229967,0.0018414832517547421,30
P2,P2-run4,joint-4D,LS,30,60,16,16,16,16,0.4119859170182327,0.004264206063823795,0
P2,P2-run4,joint-4D,L1,30,60,16,16,16,16,0.4080054354067981,0.004254506127705027,190
P2,P2-run4,independent-equal-total,LS,30,60,16,8,8,16,0.18933143867834157,0.0008663031836391254,0
P2,P2-run4,independent-equal-total,L1,30,60,16,8,8,16,0.25192030603195437,0.0009760951739265153,100
P2,P2-run4,independent-per-property,LS,30,60,16,16,16,32,0.5046331296001143,0.0035011645058950535,0
P2,P2-run4,independent-per-property,L1,30,60,16,16,16,32,0.2517417876193205,0.0009757425438447368,200
P2,P2-run5,joint-4D,LS,10,20,16,16,16,16,3.051686097097182,0.010519002567429846,0
P2,P2-run5,joint-4D,L1,10,20,16,16,16,16,0.44341163685170587,0.0046754007778469844,430
P2,P2-run5,independent-equal-total,LS,10,20,16,8,8,16,2.2071995963844615,0.012353712229162078,0
P2,P2-run5,independent-equal-total,L1,10,20,16,8,8,16,0.2773806259360704,0.0017325472163919173,280
P2,P2-run5,independent-per-property,LS,10,20,16,16,16,32,0.4402341773174035,0.001554207267769151,0
